"Institution, Course, Type, Study Mode, Foundation Year(s), Sandwich Year(s), Total years, Salary (6 months after), Median Tariff"
10007849,Computer  Arts,BA,FullTime,0,0,4,17000,176
10007849,Game  Design  and  Production  Management,BA,FullTime,0,0,4,17000,144
10000291,Computer  Games  Art,BA,FullTime,0,0,3,24000,133.0
10000291,Fashion  Design,BA,FullTime,0,0,3,18000,101.0
10000291,Fine  Art,BA,FullTime,0,0,3,18000,112
10000291,Graphic  Design,BA,FullTime,0,0,3,18000,80
10000291,Interior  Design,BA,FullTime,0,0,3,18000,96
10000291,Operating  Department  Practice,BSc,FullTime,0,0,3,22000,118.42857142857143
10000291,Performing  Arts,BA,FullTime,0,0,3,18000,103.94117647058823
10000291,Performing  Arts,BA,FullTime,0,0,3,18000,106.0
10000291,Smart  Computing,BSc,FullTime,0,2,4,24000,94.21052631578948
10000291,Smart  Computing,BSc,FullTime,0,0,3,24000,94.21052631578948
10000385,Art  and  Design  History,BA,FullTime,0,0,3,16000,122.26315789473685
10000385,Costume  and  Performance  Design,BA,FullTime,0,0,3,17000,149.45454545454547
10000385,Fine  Art,BA,FullTime,0,0,3,16000,122.26315789473685
10000385,Graphic  Design,BA,FullTime,0,0,3,18000,157.125
10000385,Interior  Architecture  and  Design,BA,FullTime,0,0,3,18000,133.0
10000385,Visual  Effects  Design  and  Production,BA,FullTime,0,0,3,17000,119.5
10007162,Ceramic  Design,BA,FullTime,0,1,3,19000,125.23529411764706
10007162,Cordwainers  Fashion  Bags  and  Accessories:  Product  Design  and  Innovation,BA,FullTime,0,1,3,19000,90.71428571428571
10007162,Cordwainers  Footwear:  Product  Design  and  Innovation,BA,FullTime,0,1,3,19000,112
10007162,Design  for  Art  Direction,BA,FullTime,0,0,3,18000,103.5
10007162,Design  for  Branded  Spaces,BA,FullTime,0,1,3,19000,125.23529411764706
10007162,Design  Management  and  Cultures,BA,FullTime,0,0,3,19000,125.23529411764706
10007162,Fashion  Design  and  Development,BA,FullTime,0,1,3,19000,147.0
10007162,Fashion  Design  Technology:  Menswear,BA,FullTime,0,0,3,19000,138.0
10007162,Fashion  Design  Technology:  Womenswear,BA,FullTime,0,0,3,19000,163.0
10007162,Fashion:  Design  With  Knitwear,BA,FullTime,0,1,3,19000,125.23529411764706
10007162,Fashion:  Design  With  Marketing,BA,FullTime,0,1,3,19000,125.23529411764706
10007162,Fashion:  Fashion  Design  Menswear,BA,FullTime,0,1,3,19000,125.23529411764706
10007162,Fashion:  Fashion  Design  Womenswear,BA,FullTime,0,1,3,19000,125.23529411764706
10007162,Fine  Art,BA,FullTime,0,0,3,18000,144
10007162,Fine  Art,BA,FullTime,0,1,3,18000,119.5
10007162,Fine  Art:  Painting,BA,FullTime,0,0,3,18000,128
10007162,Fine  Art:  Print  and  Time  Based  Media,BA,FullTime,0,0,3,18000,119.5
10007162,Fine  Art:  Sculpture,BA,FullTime,0,0,3,18000,117.0
10007162,Graphic  and  Media  Design,BA,FullTime,0,1,3,19000,118.0
10007162,Graphic  Communication  Design,BA,FullTime,0,0,3,19000,125.33333333333333
10007162,Graphic  Design,BA,FullTime,0,0,3,19000,135.5
10007162,Graphic  Design,FDA,FullTime,0,0,2,20000,80
10007162,Graphic  Design  Communication,BA,FullTime,0,0,3,19000,149.0
10007162,Information  and  Interface  Design,BA,FullTime,0,0,3,19000,125.23529411764706
10007162,Interaction  Design  Arts,BA,FullTime,0,0,3,19000,125.23529411764706
10007162,Interior  and  Spatial  Design,BA,FullTime,0,0,3,19000,101.625
10007162,Interior  Design,FDA,FullTime,0,0,2,20000,87.5
10007162,Jewellery  Design,BA,FullTime,0,1,3,19000,125.23529411764706
10007162,Performance  Design  and  Practice,BA,FullTime,0,1,3,19000,134.66666666666666
10007162,Product  Design,BA,FullTime,0,1,3,19000,123.25
10007162,Production  Arts  for  Screen,BA,FullTime,0,0,3,19000,134.66666666666666
10007162,Sound  Arts  and  Design,BA,FullTime,0,0,3,19000,115.33333333333333
10007162,Textile  Design,BA,FullTime,0,1,3,19000,131.0
10007162,Textile  Design,BA,FullTime,0,0,3,19000,116.28571428571428
10007162,Theatre  Design,BA,FullTime,0,0,3,19000,134.66666666666666
10007162,Three-Dimensional  Design,BA,FullTime,0,0,3,19000,125.23529411764706
10007759,Design  Engineering,BEng,FullTime,0,2,4,27000,96
10007759,Industrial  Product  Design,BSc,FullTime,0,2,4,27000,125.33333333333333
10007759,Product  Design  and  Management,BSc,FullTime,0,2,4,27000,146.5
10007759,Transport  Product  Design,BSc,FullTime,0,2,4,27000,137.75
10007857,Design  And  Technology,BSc,FullTime,0,0,3,22000,146.30769230769232
10007857,Product  Design,BSc,FullTime,0,0,3,16000,107.25
10007152,Advertising  and  Branding  Design,BA,FullTime,0,0,3,18000,90.0
10007152,Advertising  and  Branding  Design,BA,FullTime,2,0,4,18000,90.0
10007152,Advertising  and  Branding  Design,BA,FullTime,0,2,4,18000,90.0
10007152,Art  and  Design,BA,FullTime,0,2,4,17000,69.0
10007152,Art  and  Design,BA,FullTime,2,0,4,17000,69.0
10007152,Art  and  Design,BA,FullTime,0,0,3,17000,69.0
10007152,Artificial  Intelligence  and  Robotics,BSc,FullTime,0,2,5,24000,87.10526315789474
10007152,Artificial  Intelligence  and  Robotics,BSc,FullTime,2,0,5,24000,87.10526315789474
10007152,Artificial  Intelligence  and  Robotics,BSc,FullTime,0,0,3,24000,87.10526315789474
10007152,Fashion  Design,BA,FullTime,2,0,4,18000,90.0
10007152,Fashion  Design,BA,FullTime,0,2,4,18000,90.0
10007152,Fashion  Design,BA,FullTime,0,0,3,18000,90.0
10007152,Fine  Art,BA,FullTime,0,0,3,18000,87.5
10007152,Fine  Art,BA,FullTime,2,0,4,18000,87.5
10007152,Fine  Art,BA,FullTime,0,2,4,18000,87.5
10007152,Graphic  Design,BA,FullTime,0,2,3,18000,90.0
10007152,Graphic  Design,BA,FullTime,0,0,3,18000,76.5
10007152,Graphic  Design,BA,FullTime,2,0,4,18000,90.0
10007152,Graphic  Design,BA,FullTime,0,2,4,18000,90.0
10007152,Interior  Design  and  Retail  Branding,BA,FullTime,0,0,3,18000,90.0
10007152,Interior  Design  and  Retail  Branding,BA,FullTime,0,2,4,18000,90.0
10007152,Interior  Design  and  Retail  Branding,BA,FullTime,2,0,4,18000,90.0
10007152,Operating  Department  Practice,BSc,FullTime,0,0,3,22000,109.26923076923077
10007152,Performing  Arts,BA,FullTime,0,2,4,17000,80
10007152,Performing  Arts,BA,FullTime,2,0,4,17000,80
10007152,Performing  Arts,BA,FullTime,0,0,3,16000,80
10007152,Photography  and  Video  Art,BA,FullTime,0,2,4,17000,74.0
10007152,Photography  and  Video  Art,BA,FullTime,2,0,4,17000,74.0
10007152,Photography  and  Video  Art,BA,FullTime,0,0,3,18000,85.0
10007152,Product  Design,BSc,FullTime,0,0,3,18000,90.0
10007760,Arts  and  Humanities,BA,FullTime,0,0,3,21000,103.5
10007760,Arts  and  Humanities,BA,PartTime,0,0,,26000,0
10007760,Arts  and  Humanities,BA,FullTime,2,0,4,21000,96
10007760,Chartered  Management,BBA,PartTime,0,0,,27000,0
10007760,History  of  Art,BA,PartTime,0,0,,34000,0
10007760,History  of  Art,BA,FullTime,0,0,3,20000,106.0
10007760,History  of  Art  with  Curating,BA,FullTime,0,0,3,20000,106.0
10007760,History  of  Art  with  Curating,BA,PartTime,0,0,,34000,0
