"Institution, Course, Type, Study Mode, Foundation Year(s), Sandwich Year(s), Total years, Salary (6 months after), Median Tariff"
10007849,Business  and  Human  Resource  Management,BA,FullTime,0,0,4,19000,154.0
10007849,Business  Management,BA,FullTime,0,0,4,19000,128
10007849,Marketing  and  Business,BA,FullTime,0,0,4,19000,166.0
10000291,Business  and  Events  Management,BSc,FullTime,0,0,3,21000,107.25
10000291,Business  and  Healthcare  Management,BSc,FullTime,2,0,4,21000,82.36842105263158
10000291,Business  and  Hospitality  Management,BSc,FullTime,2,0,4,21000,82.36842105263158
10000291,Business  and  Human  Resource  Management,BSc,FullTime,0,2,4,19000,103.5
10000291,Business  and  Human  Resource  Management,BSc,FullTime,0,0,3,19000,101.0
10000291,Business  and  Human  Resource  Management,BSc,FullTime,0,0,3,19000,103.5
10000291,Business  and  Human  Resource  Management,BSc,PartTime,0,0,,29000,0
10000291,Business  and  Human  Resource  Management,BSc,FullTime,2,0,4,21000,82.36842105263158
10000291,Business  and  Law,BSc,FullTime,2,0,4,21000,82.36842105263158
10000291,Business  and  Marketing,BSc,FullTime,2,0,4,21000,82.36842105263158
10000291,Business  and  Tourism,BSc,FullTime,2,0,4,21000,82.36842105263158
10000291,Business  Economics,BSc,FullTime,0,0,3,25000,71.5
10000291,Business  Economics,BSc,FullTime,0,2,4,26000,101.0
10000291,Business  Economics,BSc,PartTime,0,0,,30000,0
10000291,Business  Management,BSc,PartTime,0,0,,30000,0
10000291,Business  Management,BSc,PartTime,0,0,,30000,0
10000291,Business  Management,BSc,FullTime,0,2,4,21000,91.25
10000291,Business  Management,BSc,FullTime,0,0,3,21000,90.0
10000291,Business  Management,BSc,FullTime,0,0,3,21000,83.75
10000291,Business  Management  and  Finance,BSc,FullTime,0,2,4,21000,86.0
10000291,Business  Management  and  Finance,BSc,PartTime,0,0,,29000,0
10000291,Business  Management  and  Finance,BSc,FullTime,0,0,3,21000,80
10000291,Business  Management  and  Leadership,BSc,FullTime,0,2,4,21000,71.5
10000291,Business  Management  and  Leadership,BSc,FullTime,0,0,3,21000,80
10000291,Finance  and  Business  Analytics,BSc,FullTime,0,2,4,21000,86.0
10000291,Finance  and  Business  Analytics,BSc,FullTime,0,0,3,21000,86.0
10000291,International  Business  Management,BSc,FullTime,0,0,3,21000,64
10000291,International  Business  Management,BSc,FullTime,0,0,3,21000,82.36842105263158
10000291,International  Business  Management,BSc,PartTime,0,0,,29000,0
10000291,International  Business  Management,BSc,FullTime,2,0,4,21000,82.36842105263158
10000291,International  Business  Management,BSc,FullTime,0,2,4,21000,82.36842105263158
10000291,International  Business  Management  (Accelerated),BSc,FullTime,0,0,2,21000,71.5
10007759,Business  and  Management,BSc,FullTime,0,2,4,21000,160.48387096774195
10007759,Business  Computing  and  IT,BSc,FullTime,0,2,4,21000,155.25
10007759,Business  Management  and  Public  Policy,BSc,FullTime,0,2,4,25000,118.0
10007759,Computing  for  Business,BSc,FullTime,0,2,4,23000,128
10007759,International  Business  And  Economics,BSc,FullTime,0,2,4,25000,128
10007759,International  Business  And  Management,BSc,FullTime,0,1,4,21000,148.82142857142858
10007857,Business  Economics,BSc,FullTime,0,0,3,19000,106.71428571428571
10007857,Business  Studies,BSc,FullTime,0,0,3,19000,135.5
10007857,Business  Studies  With  Spanish,BA,FullTime,0,0,3,19000,135.5
10007857,Computer  Information  Systems  for  Business,BSc,FullTime,0,0,3,21000,121.23076923076923
10000571,Business  &  Management  (Accounting),BA,FullTime,0,0,3,20000,115.0
10000571,Business  &  Management  (Accounting)  with  Professional  Practice  Year,BA,FullTime,0,2,4,20000,115.0
10000571,Business  &  Management  (Entrepreneurship),BA,FullTime,0,0,3,20000,107.5909090909091
10000571,Business  &  Management  (Entrepreneurship)  with  Professional  Practice  Year,BA,FullTime,0,2,4,20000,107.5909090909091
10000571,Business  &  Management  (Festivals  and  Events),BA,FullTime,0,0,3,20000,107.5909090909091
10000571,Business  &  Management  (Festivals  and  Events)  with  Professional  Practice  Year,BA,FullTime,0,2,4,20000,107.5909090909091
10000571,Business  &  Management  (Human  Resource  Management)  with  Professional  Practice  Year,BA,FullTime,0,2,4,20000,123.25
10000571,Business  &  Management  (International  Business)  with  Professional  Practice  Year,BA,FullTime,0,2,4,20000,107.5909090909091
10000571,Business  &  Management  (Law),BA,FullTime,0,0,3,20000,107.5909090909091
10000571,Business  &  Management  (Law)  with  Professional  Practice  Year,BA,FullTime,0,2,4,20000,107.5909090909091
10000571,Business  &  Management  (Marketing)  with  Professional  Practice  Year,BA,FullTime,0,2,4,20000,108.5
