"Institution, Course, Type, Study Mode, Foundation Year(s), Sandwich Year(s), Total years, Salary (6 months after), Median Tariff"
10007857,Chemistry,BSc,FullTime,0,0,3,21000,117.0
10007857,Chemistry,MChem,FullTime,0,0,4,21000,119.5
10007850,Chemistry,BSc,FullTime,0,0,3,22000,144
10007850,Chemistry,MChem,FullTime,0,2,4,22000,172.5
10007850,Chemistry,MChem,FullTime,0,0,4,22000,160
10007850,Chemistry,BSc,FullTime,0,2,4,22000,181.0
10007850,Chemistry,MChem,FullTime,0,0,4,22000,164.28571428571428
10007850,Chemistry,BSc,FullTime,0,0,4,22000,170.0
10006840,Chemistry,BSc,FullTime,1,0,3,20000,151.5
10006840,Chemistry,MSci,FullTime,1,0,4,20000,163.75
10007785,Chemistry,BSc,FullTime,0,0,3,19000,121.0
10007785,Chemistry,MChem,FullTime,0,0,4,19000,104.4
10000886,Chemistry,BSc,FullTime,2,1,4,22000,115.75
10000886,Chemistry,MChem,FullTime,0,1,4,22000,120.79310344827586
10000886,Chemistry,BSc,FullTime,0,1,3,22000,115.75
10007786,Chemistry,BSc,FullTime,0,0,3,22000,179.75
10007786,Chemistry,MSci,FullTime,0,0,4,22000,188.5
10007814,Chemistry,MChem,FullTime,0,0,4,20000,147.0
10007814,Chemistry,BSc,FullTime,2,0,4,20000,136.88888888888889
10007814,Chemistry,MChem,FullTime,0,0,4,20000,136.57142857142858
10007814,Chemistry,BSc,FullTime,0,0,3,20000,133.0
10007814,Chemistry,BSc,FullTime,0,2,4,20000,138.0
10007814,Chemistry,MChem,FullTime,0,2,4,20000,154.0
10007141,Chemistry,MChem,FullTime,1,0,4,20000,113.875
10007141,Chemistry,MChem,FullTime,2,0,5,20000,113.875
10007141,Chemistry,BSc,FullTime,2,0,4,20000,108.85714285714286
10007141,Chemistry,BSc,FullTime,1,0,3,20000,108.85714285714286
10007143,Chemistry,BSc,FullTime,2,0,4,22000,220.5
10007143,Chemistry,MChem,FullTime,0,1,4,22000,208
10007143,Chemistry,BSc,FullTime,0,0,3,22000,218.0
