"Institution, Course, Type, Study Mode, Foundation Year(s), Sandwich Year(s), Total years, Salary (6 months after), Median Tariff"
10000291,Civil  Engineering,BSc,FullTime,0,0,3,26000,92.0
10000291,Civil  Engineering,BEng,FullTime,0,0,3,26000,80
10000291,Civil  Engineering,BSc,PartTime,0,0,,34000,0
10000291,Civil  Engineering,MEng,FullTime,0,0,4,26000,80
10000291,Civil  Engineering,BSc,FullTime,0,2,4,26000,80
10000291,Civil  Engineering,BEng,FullTime,0,2,4,26000,80
10000291,Civil  Engineering,BEng,PartTime,0,0,,34000,0
10007850,Civil  Engineering,MEng,FullTime,0,2,5,26000,210.5
10007850,Civil  Engineering,MEng,FullTime,0,0,4,26000,215.5
10007850,Civil  Engineering,BEng,FullTime,0,2,4,26000,196.5
10007850,Civil  Engineering,BEng,FullTime,0,0,3,26000,196.5
10007140,Civil  Engineering,MEng,FullTime,0,1,4,26000,119.5
10007140,Civil  Engineering,MEng,FullTime,2,0,5,26000,119.5
10007140,Civil  Engineering,BEng,FullTime,0,1,3,26000,119.5
10007140,Civil  Engineering,BEng,FullTime,2,0,4,26000,119.5
10006840,Civil  Engineering,MEng,FullTime,1,0,4,26000,168.1818181818182
10006840,Civil  Engineering,BEng,FullTime,1,0,3,26000,144
10006840,Civil  Engineering  (International  Study),MEng,FullTime,1,0,4,26000,162.14285714285714
10006840,Civil  Engineering  with  industrial  experience,MEng,FullTime,1,0,4,26000,188.85714285714286
10006841,Civil  Engineering,BEng,FullTime,0,0,3,25000,114.5
10006841,Civil  Engineering  with  Foundation,BEng,FullTime,2,0,4,25000,60.27272727272727
10000886,Civil  Engineering,BEng,FullTime,0,1,3,26000,115.0
10000886,Civil  Engineering,BEng,FullTime,2,1,4,26000,80
10000886,Civil  Engineering,MEng,FullTime,0,1,4,26000,112
10000886,Civil  Engineering  with  Integrated  Foundation  Year,MEng,FullTime,2,1,5,26000,112
10007786,Civil  Engineering,MEng,FullTime,0,0,4,26000,176
10007786,Civil  Engineering,BEng,FullTime,0,0,3,26000,179.0
10007786,Civil  Engineering  with  Study  in  Continental  Europe,MEng,FullTime,0,0,4,26000,176
10000961,Civil  Engineering,MEng,FullTime,0,0,4,26000,139.66666666666666
10000961,Civil  Engineering,MEng,FullTime,0,2,5,26000,139.66666666666666
10000961,Civil  Engineering,BEng,FullTime,0,0,3,26000,128
10000961,Civil  Engineering,BEng,FullTime,0,2,4,26000,128
10000961,Civil  Engineering  with  Sustainability,MEng,FullTime,0,0,4,26000,139.66666666666666
10000961,Civil  Engineering  with  Sustainability,MEng,FullTime,0,2,5,26000,139.66666666666666
10000961,Civil  Engineering  with  Sustainability,BEng,FullTime,0,2,4,26000,128
10000961,Civil  Engineering  with  Sustainability,BEng,FullTime,0,0,3,26000,139.66666666666666
10007814,(International)  Civil  Engineering,MEng,FullTime,0,0,4,26000,164.6153846153846
10007814,(International)  Civil  Engineering,MEng,FullTime,0,2,5,26000,164.6153846153846
10007814,Civil  Engineering,BEng,FullTime,0,0,3,26000,128
10007814,Civil  Engineering,MEng,FullTime,0,0,4,26000,171.25
10007814,Civil  Engineering,MEng,FullTime,0,2,5,26000,160
10007814,Civil  Engineering,BEng,FullTime,0,2,4,26000,156.5
10007814,Civil  Engineering  with  Year  in  Europe  (France),MEng,FullTime,0,0,5,26000,164.6153846153846
10007814,Civil  Engineering  with  Year  in  Europe  (Germany),MEng,FullTime,0,0,5,26000,164.6153846153846
10007814,Civil  Engineering  with  Year  in  Europe  (Spain),MEng,FullTime,0,0,5,26000,164.6153846153846
10007141,Civil  Engineering,MEng,FullTime,2,1,5,24000,108.0
10007141,Civil  Engineering,BEng,FullTime,2,1,4,24000,108.0
10007141,Civil  Engineering,MEng,FullTime,1,1,4,24000,108.0
10007141,Civil  Engineering,BEng,FullTime,1,1,3,24000,108.0
10001478,Civil  Engineering,MEng,FullTime,0,1,4,27000,134.0
10001478,Civil  Engineering,BEng,FullTime,2,0,4,27000,134.0
10001478,Civil  Engineering,BEng,FullTime,0,0,3,27000,132.28571428571428
10001726,Civil  Engineering,MEng,FullTime,0,1,4,26000,156.5
10001726,Civil  Engineering,BEng,FullTime,0,1,3,26000,129.76470588235293
10001726,Civil  Engineering,BSc,FullTime,0,1,3,26000,102.25
10001726,Civil  Engineering,BEng,PartTime,0,1,,30000,0
10001726,Civil  Engineering,BSc,PartTime,0,1,,30000,0
10001726,Civil  Engineering,MEng,PartTime,0,1,,30000,0
10007851,Civil  Engineering,BSc,FullTime,1,1,3,25000,76.0
10007851,Civil  Engineering,FDEng,PartTime,0,0,,27000,0
10007851,Civil  Engineering,BSc,PartTime,1,1,,32000,0
10007851,Civil  Engineering,MEng,FullTime,0,1,4,25000,64
10007852,Civil  Engineering,BEng,FullTime,0,0,4,25000,167.5
10007852,Civil  Engineering,MEng,FullTime,0,0,5,25000,167.5
10007144,Civil  Engineering,BEng,FullTime,1,1,3,26000,96
10007144,Civil  Engineering,MEng,FullTime,0,1,4,26000,96
10007144,Civil  Engineering,BEng,PartTime,1,1,,36000,0
10007144,Civil  Engineering,BSc,FullTime,1,1,3,26000,80
10007144,Civil  Engineering,BSc,PartTime,1,1,,36000,0
10007144,Civil  Engineering,MEng,PartTime,0,1,,36000,0
10007792,Civil  Engineering,MEng,FullTime,0,0,4,25000,154.0
10007792,Civil  Engineering,BEng,FullTime,0,0,3,25000,163.0
10007792,Civil  Engineering  with  Industrial  Experience,MEng,FullTime,0,0,4,25000,165.0
