"Institution, Course, Type, Study Mode, Foundation Year(s), Sandwich Year(s), Total years, Salary (6 months after), Median Tariff"
10000291,Education,BA,FullTime,0,0,3,17000,115.21428571428572
10000291,Primary  Education  Studies,BA,FullTime,0,0,3,17000,115.21428571428572
10000291,Sports  Coaching  and  Physical  Education,BSc,FullTime,0,0,3,18000,96
10000291,Sports  Coaching  and  Physical  Education,BSc,FullTime,2,0,4,18000,68.5
10000291,Sports  Coaching  and  Physical  Education,BSc,FullTime,0,0,3,18000,92.0
10007857,Primary  Education,BA,FullTime,0,0,3,22000,121.0
10007857,Sport  Health  And  Physical  Education,BSc,FullTime,0,0,3,17000,151.5
10000571,Education  Specialised  &  Early  Years,BA,FullTime,0,0,3,16000,135.5
10000571,Education  Specialised  &  Education  Single,BA,FullTime,0,0,3,16000,132.82142857142858
10000571,Education  Studies,BA,FullTime,0,0,3,16000,115.75
10000571,Education  Studies  with  Professional  Placement  Year,BA,FullTime,0,2,4,16000,125.5
10000571,Education:  Early  Years  Single,BA,FullTime,0,0,3,16000,117.0
10000571,Education:  Early  Years  with  Professional  Placement  Year,BA,FullTime,0,2,4,16000,125.5
10007152,Applied  Education  Studies,BA,PartTime,0,0,,19000,0
10007152,Early  Childhood  Education,BA,FullTime,0,2,4,17000,115.75
10007152,Early  Childhood  Education,BA,FullTime,0,0,3,17000,115.75
10007152,Early  Childhood  Education,BA,FullTime,2,0,4,17000,115.75
10007152,Education  Studies,BA,FullTime,0,0,3,17000,103.5
10007152,Education  Studies,BA,FullTime,0,2,4,17000,115.75
10007152,Education  Studies,BA,FullTime,2,0,4,17000,115.75
10007152,Education  Studies  and  English,BA,FullTime,0,2,4,18000,83.0
10007152,Education  Studies  and  English,BA,FullTime,2,0,4,18000,83.0
10007152,Education  Studies  and  English,BA,FullTime,0,0,3,18000,83.0
10007152,Education  with  Psychology,BA,FullTime,0,0,3,18000,90.5
10007152,Physical  Education  (Secondary)  (with  QTS),BA,FullTime,0,0,4,22000,118.81818181818181
10007152,Primary  Education,BA,FullTime,0,0,3,22000,115.75
10007152,Primary  Years  Education,BA,FullTime,0,0,3,17000,128
10007152,Special  Needs  and  Inclusive  Education,BA,FullTime,0,2,4,17000,115.75
10007152,Special  Needs  and  Inclusive  Education,BA,FullTime,0,0,3,17000,112
10007152,Special  Needs  and  Inclusive  Education,BA,FullTime,2,0,4,17000,115.75
10007152,Sport  and  Physical  Education,BSc,FullTime,0,2,4,17000,109.125
10007152,Sport  and  Physical  Education,BA,FullTime,0,2,4,17000,109.125
10007152,Sport  and  Physical  Education,BA,FullTime,2,0,4,17000,109.125
10007152,Sport  and  Physical  Education,BA,FullTime,0,0,3,17000,124.3529411764706
10007152,Sport  and  Physical  Education,BSc,FullTime,0,0,3,17000,109.125
10007152,Sport  and  Physical  Education,BSc,FullTime,2,0,4,17000,109.125
10007760,Psychology  for  Education,BA,PartTime,0,0,,28000,0
10007760,Psychology  for  Education  Professionals,FD,PartTime,0,0,,30000,0
10007140,Applied  Performance  (Community  and  Education),BA,FullTime,0,0,3,17000,131.0
10007140,Physical  Education  and  School  Sport,BSc,FullTime,0,0,3,18000,114.64705882352942
10007140,Primary  Education  with  Qualified  Teacher  Status,BA,FullTime,0,0,3,22000,123.5909090909091
10006840,Education,BA,FullTime,0,0,3,16000,152.33333333333334
10006840,Sport  Physical  Education  and  Coaching  Science,BA,FullTime,0,0,3,18000,163.66666666666666
10007811,Education  Studies,BA,FullTime,0,0,3,22000,115.75
10007811,Education  Studies  and  Applied  Drama,BA,FullTime,0,0,3,22000,107.25
10007811,Education  Studies  and  English,BA,FullTime,0,0,3,22000,80
10007811,Education  Studies  and  History,BA,FullTime,0,0,3,22000,90.0
10007811,Education  Studies  and  Mathematics,BSc,FullTime,0,0,3,22000,106.0
10007811,Education  Studies  and  Psychology,BA,FullTime,0,0,3,22000,96
