"Institution, Course, Type, Study Mode, Foundation Year(s), Sandwich Year(s), Total years, Salary (6 months after), Median Tariff"
10000291,Electronic  Engineering,BEng,FullTime,0,2,4,26000,99.0
10000291,Electronic  Engineering,BEng,FullTime,0,0,3,26000,99.0
10007759,Electrical  and  Electronic  Engineering,BEng,FullTime,0,2,4,26000,138.0
10007759,Electrical  and  Electronic  Engineering,MEng,FullTime,0,0,4,26000,133.0
10007857,Electronic  Engineering,BEng,FullTime,0,0,3,24000,114.5
10007857,Electronic  Engineering,BSc,FullTime,0,0,3,24000,80
10007857,Electronic  Engineering,MEng,FullTime,0,0,4,24000,140.0
10007850,Electrical  and  Electronic  Engineering,MEng,FullTime,0,2,5,26000,179.75
10007850,Electrical  and  Electronic  Engineering,BEng,FullTime,0,0,3,26000,160
10007850,Electrical  and  Electronic  Engineering,BEng,FullTime,0,2,4,26000,154.0
10007850,Electrical  and  Electronic  Engineering,MEng,FullTime,0,0,4,26000,144
10007850,Electronic  Engineering  with  Space  Science  and  Technology,BEng,FullTime,0,0,3,26000,170.3125
10007850,Electronic  Engineering  with  Space  Science  and  Technology,MEng,FullTime,0,0,4,26000,170.3125
10007850,Electronic  Engineering  with  Space  Science  and  Technology,BEng,FullTime,0,2,4,26000,170.3125
10007850,Electronic  Engineering  with  Space  Science  and  Technology,MEng,FullTime,0,2,5,26000,170.3125
10007850,Integrated  Mechanical  and  Electrical  Engineering,MEng,FullTime,0,2,5,25000,195.75
10007140,Electronic  Engineering,MEng,FullTime,0,1,4,25000,107.25
10007140,Electronic  Engineering,MEng,FullTime,2,0,5,25000,126.0625
10007140,Electronic  Engineering,BEng,FullTime,0,1,3,25000,126.0625
10007140,Electronic  Engineering,BEng,FullTime,2,0,4,25000,126.0625
10006840,Electronic  and  Electrical  Engineering,MEng,FullTime,1,0,4,25000,150.66666666666666
10006840,Electronic  and  Electrical  Engineering,BEng,FullTime,1,0,3,25000,163.75
10006840,Electronic  and  Electrical  Engineering  with  Industrial  Year,BEng,FullTime,1,2,4,25000,150.66666666666666
10006840,Electronic  and  Electrical  Engineering  with  Industrial  Year,MEng,FullTime,1,2,5,25000,150.66666666666666
10006841,Electrical  and  Electronic  Engineering  with  Foundation,BEng,FullTime,2,0,4,25000,76.0
10000886,Electrical  and  Electronic  Engineering,MEng,FullTime,0,1,4,25000,103.5
10000886,Electrical  and  Electronic  Engineering,BEng,FullTime,0,1,3,25000,119.5
