"Institution, Course, Type, Study Mode, Foundation Year(s), Sandwich Year(s), Total years, Salary (6 months after), Median Tariff"
10000291,Archaeology  and  Landscape  History,BA,FullTime,0,0,3,18000,87.5
10000291,History,BA,FullTime,0,0,3,18000,90.0
10000291,History  and  English  Literature,BA,FullTime,0,0,3,18000,87.5
10000385,Art  and  Design  History,BA,FullTime,0,0,3,16000,122.26315789473685
10007162,Fashion  Communication:  Fashion  History  and  Theory,BA,FullTime,0,1,3,19000,112
10007857,Heritage  Archaeology  And  History,BA,FullTime,0,0,3,17000,120.4
10007857,History,BA,FullTime,0,0,3,17000,119.5
10007857,History,MArts,FullTime,0,0,4,17000,120.4
10007857,Medieval  And  Early  Modern  History,BA,FullTime,0,0,3,17000,118.0
10007857,Modern  And  Contemporary  History,BA,FullTime,0,0,3,17000,120.4
10007857,Welsh  History  and  History,BA,FullTime,0,0,3,17000,120.4
10000571,History,BA,FullTime,0,0,3,18000,103.5
10000571,History  with  Professional  Placement  Year,BA,FullTime,0,2,4,18000,106.0
10000571,History:  Heritage  &  Public  History  with  Professional  Placement  Year,BA,FullTime,0,2,4,18000,106.0
10000571,History:  Heritage  and  Public  History,BA,FullTime,0,0,3,18000,106.0
10007760,History,BA,PartTime,0,0,,34000,0
10007760,History,BA,FullTime,0,0,3,20000,96
10007760,History  of  Art,BA,PartTime,0,0,,34000,0
10007760,History  of  Art,BA,FullTime,0,0,3,20000,106.0
10007760,History  of  Art  with  Curating,BA,FullTime,0,0,3,20000,106.0
10007760,History  of  Art  with  Curating,BA,PartTime,0,0,,34000,0
10007760,History  of  Art  with  Film,BA,FullTime,0,0,3,20000,106.0
10007760,History  of  Art  with  History,BA,FullTime,0,0,3,20000,106.0
10007760,Language  and  History  with  International  Experience,BA,FullTime,0,0,3,21000,96
10006840,Ancient  and  Medieval  History,BA,FullTime,0,0,3,18000,156.0
10006840,Ancient  History,BA,FullTime,0,0,3,18000,128
10006840,History,BA,FullTime,0,0,3,18000,165.2173913043478
10006840,History  and  History  of  Art,BA,FullTime,0,0,3,18000,162.6086956521739
10006840,History  and  Political  Science,BA,FullTime,0,0,3,20000,163.75
10006840,History  of  Art,BA,FullTime,0,0,3,18000,144
10007811,Education  Studies  and  History,BA,FullTime,0,0,3,22000,90.0
10000886,Critical  History,BA,FullTime,0,0,3,18000,106.0
10000886,Fashion  and  Dress  History,BA,FullTime,0,0,3,19000,123.25
10000886,Globalisation:  History  Politics  Culture,BA,FullTime,0,0,3,18000,98.5
10000886,History  of  Art  and  Design,BA,FullTime,0,0,3,18000,117.0
10007786,Ancient  History,BA,FullTime,1,0,3,20000,171.25
10007786,History,BA,FullTime,1,0,3,20000,186.625
10007786,History  of  Art,BA,FullTime,1,0,3,20000,166.0
10000961,History,BA,FullTime,0,2,4,21000,96
10000961,History,BA,FullTime,0,0,3,21000,116.28571428571428
10000961,Military  and  International  History,BA,FullTime,0,2,4,21000,114.5
10000961,Military  and  International  History,BA,FullTime,0,0,3,21000,114.5
10007787,English  Literature  with  History,BA,FullTime,0,0,2,18000,98.5
10007787,English  Literature  with  History  of  Art,BA,FullTime,0,0,2,18000,98.5
10007787,History  of  Art  with  English  Literature,BA,FullTime,0,0,2,18000,98.5
10007787,History  of  Art  with  French,BA,FullTime,0,0,2,18000,98.5
10007787,History  of  Art  with  Spanish,BA,FullTime,0,0,2,18000,98.5
10007787,History  with  English  Literature,BA,FullTime,0,0,2,18000,98.5
10007787,History  with  Journalism,BA,FullTime,0,0,2,18000,98.5
10007788,History,BA,FullTime,0,0,3,21000,215.94117647058823
10007788,History  of  Art,BA,FullTime,0,0,3,21000,192
10001143,Early  Childhood  Studies/History,BA,PartTime,0,0,,19000,0
10001143,European  Politics/History,BA/BSc,PartTime,0,0,,27000,0
10001143,Health  Studies/History,BA/BSc,PartTime,0,0,,27000,0
10001143,History,BA,FullTime,0,0,3,20000,93.5
10001143,History,BA,FullTime,2,0,4,20000,91.12903225806451
10001143,History/International  Relations,BA/BSc,PartTime,0,0,,27000,0
10001143,History/Politics,BA,PartTime,0,0,,27000,0
10001143,History/Sociology,BA/BSc,PartTime,0,0,,27000,0
10001143,Law  With  History,LLB,PartTime,0,0,,30000,0
10007814,Ancient  and  Medieval  History,BA,FullTime,0,0,3,17000,151.5
10007814,Ancient  and  Medieval  History,BA,FullTime,0,0,4,17000,149.625
10007814,Ancient  History,BA,FullTime,0,0,3,17000,135.82608695652175
10007814,Ancient  History,BA,FullTime,0,0,4,17000,149.625
10007814,Ancient  History  and  History,BA,FullTime,0,0,3,17000,154.0
10007814,Ancient  History  and  History  with  a  Year  of  Study  Abroad,BA,FullTime,0,0,4,17000,149.625
10007814,History,BA,FullTime,0,0,3,17000,155.08695652173913
10007814,History,BA,FullTime,0,0,4,17000,149.625
10007814,History  with  Welsh  History,BA,FullTime,0,0,3,17000,149.625
10007814,History  with  Welsh  History,BA,FullTime,0,0,4,17000,149.625
10007141,Education  &  History,BA,FullTime,2,0,4,16000,131.75
10007141,Education  and  History,BA,FullTime,1,0,3,16000,131.75
10007141,History,BA,FullTime,2,0,4,18000,116.28571428571428
10007141,History,BA,FullTime,1,0,3,18000,116.28571428571428
10007141,History  &  Politics,BA,FullTime,2,0,4,18000,114.5
10007141,History  and  Politics,BA,FullTime,1,0,3,18000,114.5
10007848,History,BA,FullTime,0,0,3,18000,107.25
10007848,History  (University  Centre  Shrewsbury),BA,FullTime,0,0,3,18000,107.66666666666667
10007137,History,BA,FullTime,0,0,3,18000,101.625
10007137,Medieval  &  Early  Modern  History,BA,FullTime,0,0,3,18000,100.5
10007137,Modern  History,BA,FullTime,0,0,3,18000,100.61538461538461
10007137,Politics  and  Contemporary  History,BA,FullTime,0,0,3,21000,91.25
10007761,History  of  Art,BA,FullTime,0,0,3,21000,160
10001726,History,BA,FullTime,0,1,3,19000,96
10001883,History,BA,FullTime,0,1,3,18000,98.5
10001883,History  and  Politics,BA,FullTime,0,1,3,18000,80
10007851,Business  Management  and  History,BA,PartTime,1,1,,32000,0
10007851,History,BA,FullTime,1,0,3,18000,90.0
10007851,History,MHist,FullTime,0,0,4,18000,92.5
10007851,History  and  Education  Studies,BA,PartTime,1,1,,21000,0
10007851,History  and  Human  Resource  Management,BA,PartTime,1,1,,32000,0
10007851,History  and  Marketing,BA,PartTime,1,1,,30000,0
10007851,History  and  Psychology,BA/BSc,PartTime,1,1,,23000,0
10007851,History  with  Foundation  Year,BA,FullTime,2,0,4,18000,92.5
10007852,History  and  Politics,MA,FullTime,0,0,4,18000,149.0
10007143,Ancient  History,BA,FullTime,0,0,3,20000,160
10007143,Education  Studies  -  History,BA,FullTime,1,1,3,20000,215.5
10007143,History,BA,FullTime,2,0,4,20000,216.0
10007143,History,BA,FullTime,1,0,3,20000,215.0
10007789," ""Archaeology  Anthropology  and  Art  History """,BA,FullTime,0,0,3,19000,152.4375
10007789,American  History,BA,FullTime,0,0,4,19000,140.5
10007789,Archaeology  Anthropology  and  Art  History,BA,FullTime,0,0,4,19000,152.4375
