"Institution, Course, Type, Study Mode, Foundation Year(s), Sandwich Year(s), Total years, Salary (6 months after), Median Tariff"
10007759,Computing  Science  and  Mathematics,BSc,FullTime,0,2,4,23000,147.52941176470588
10007759,Mathematics,BSc,FullTime,0,2,4,22000,132.21875
10007759,Mathematics  for  Industry,BSc,FullTime,0,2,4,22000,126.23076923076923
10007759,Mathematics  with  Economics,BSc,FullTime,0,2,4,27000,112
10007850,Mathematical  Sciences,BSc,FullTime,0,0,4,25000,198.5625
10007850,Mathematical  Sciences,BSc,FullTime,0,0,3,25000,195.57142857142858
10007850,Mathematical  Sciences,BSc,FullTime,0,2,4,25000,176
10007850,Mathematics,MMath,FullTime,0,0,4,25000,213.0
10007850,Mathematics,MMath,FullTime,0,2,5,25000,198.5625
10007850,Mathematics,MMath,FullTime,0,0,4,25000,190.34782608695653
10007850,Mathematics,BSc,FullTime,0,0,4,25000,198.5625
10007850,Mathematics,BSc,FullTime,0,0,3,25000,201.47368421052633
10007850,Mathematics,BSc,FullTime,0,2,4,25000,199.5
10007850,Mathematics  and  Statistics,BSc,FullTime,0,0,4,25000,198.5625
10007850,Mathematics  and  Statistics,BSc,FullTime,0,0,3,25000,192
10007850,Mathematics  and  Statistics,BSc,FullTime,0,2,4,25000,198.5625
10007152,Computing  and  Mathematics,BSc,FullTime,0,2,5,24000,87.10526315789474
10007152,Computing  and  Mathematics,BSc,FullTime,2,0,5,24000,87.10526315789474
10007152,Computing  and  Mathematics,BSc,FullTime,0,0,3,24000,87.10526315789474
10007152,Mathematics  and  Finance,BSc,FullTime,2,0,3,22000,64
10007152,Mathematics  and  Finance,BSc,FullTime,0,2,3,22000,64
10007760,Economics  and/with  Mathematics,BSc,PartTime,0,0,,32000,0
10007760,Mathematics  and  Accounting,BSc,PartTime,0,0,,24000,0
10007760,Mathematics  with  Economics,BSc,PartTime,0,0,,32000,0
10007760,Mathematics  with  Management,BSc,PartTime,0,0,,27000,0
