"Institution, Course, Type, Study Mode, Foundation Year(s), Sandwich Year(s), Total years, Salary (6 months after), Median Tariff"
10007759,Mathematics,BSc,FullTime,0,2,4,22000,132.21875
10007850,Mathematics,MMath,FullTime,0,0,4,25000,213.0
10007850,Mathematics,MMath,FullTime,0,2,5,25000,198.5625
10007850,Mathematics,MMath,FullTime,0,0,4,25000,190.34782608695653
10007850,Mathematics,BSc,FullTime,0,0,4,25000,198.5625
10007850,Mathematics,BSc,FullTime,0,0,3,25000,201.47368421052633
10007850,Mathematics,BSc,FullTime,0,2,4,25000,199.5
10006840,Mathematics,MSci,FullTime,1,0,4,23000,176
10006840,Mathematics,BSc,FullTime,1,0,3,23000,169.28571428571428
10000886,Mathematics,MMath,FullTime,0,1,4,25000,106.0
10000886,Mathematics,BSc,FullTime,0,1,3,25000,102.42857142857143
10007786,Mathematics,BSc,FullTime,0,0,3,24000,201.0
10007786,Mathematics,MSci,FullTime,0,0,4,24000,194.14285714285714
10000961,Mathematics,BSc,FullTime,1,0,3,26000,118.81818181818181
10000961,Mathematics,MMath,FullTime,0,0,4,26000,121.6774193548387
10000961,Mathematics,MMath,FullTime,0,2,5,26000,121.6774193548387
10000961,Mathematics,BSc,FullTime,1,2,4,26000,122.71428571428571
10007788,Mathematics,BA,FullTime,0,0,3,25000,224
10007814,Mathematics,MMath,FullTime,0,0,4,21000,160
10007814,Mathematics,BSc,FullTime,0,0,4,21000,163.75
10007814,Mathematics,BSc,FullTime,0,0,3,21000,156.6315789473684
10007814,Mathematics,MMath,FullTime,0,0,5,21000,163.75
10007141,Mathematics,BSc,FullTime,2,0,4,21000,149.0
10007141,Mathematics,BSc,FullTime,1,0,3,21000,149.0
10007141,Mathematics,MMath,FullTime,1,0,4,21000,149.0
10007848,Mathematics,BSc,FullTime,0,0,3,21000,115.0
10001726,Mathematics,BSc,FullTime,0,1,3,22000,109.33333333333333
10007852,Mathematics,MMath,FullTime,0,0,5,24000,128
10007852,Mathematics,BSc,FullTime,0,0,4,24000,119.5
10007143,Mathematics,MMath,FullTime,0,0,4,24000,215.10526315789474
10007143,Mathematics,BSc,FullTime,0,1,3,24000,217.47368421052633
10007143,Mathematics,BSc,FullTime,2,1,4,24000,219.66666666666666
10007789,Mathematics,BSc,FullTime,0,0,3,25000,128
10007789,Mathematics,MMath,FullTime,0,0,4,25000,141.63636363636363
10007791,Mathematics,BSc,FullTime,2,0,4,25000,124.5
10007791,Mathematics,BSc,FullTime,0,0,3,25000,124.85714285714286
10007791,Mathematics,BSc,FullTime,0,0,4,25000,124.5
10007791,Mathematics,BSc,FullTime,0,2,4,25000,124.5
10007792,Mathematics,MMath,FullTime,0,0,4,24000,187.25
10007792,Mathematics,BSc,FullTime,0,0,3,24000,179.1578947368421
10007792,Mathematics,MSci,FullTime,0,0,4,24000,186.0
10007146,Mathematics,MMath,FullTime,0,1,4,27000,117.45454545454545
10007146,Mathematics,BSc,FullTime,0,1,3,27000,119.17391304347827
10007764,Mathematics,MMath,FullTime,0,0,5,23000,151.5
10007764,Mathematics,BSc,FullTime,0,0,4,23000,147.75
10007147,Mathematics,BSc,FullTime,0,1,3,24000,102.42857142857143
10003270,Mathematics,BSc,FullTime,0,0,3,26000,230.25
10003270,Mathematics,MSci,FullTime,0,0,4,26000,231.5
10007767,Mathematics,BSc,FullTime,0,0,3,22000,129.8
10007767,Mathematics,MMath,FullTime,0,1,4,22000,123.4
10007150,Mathematics,MMath,FullTime,0,0,4,25000,120.2258064516129
10007150,Mathematics,BSc,FullTime,0,0,3,25000,112
10003645,Mathematics,MSci,FullTime,0,0,4,25000,185.0
10003645,Mathematics,BSc,FullTime,0,0,3,25000,172.32142857142858
10003678,Mathematics,BSc,FullTime,2,0,4,26000,80
10003678,Mathematics,BSc,FullTime,0,0,3,26000,80
10003678,Mathematics,BSc,FullTime,0,2,4,26000,91.25
10007768,Mathematics,BSc,FullTime,0,0,3,23000,160.75
10007768,Mathematics,MSci,FullTime,0,0,4,23000,162.14285714285714
10007795,Mathematics,BSc,FullTime,0,1,3,23000,172.95454545454547
10007795,Mathematics,MMath,FullTime,0,1,4,23000,180.03846153846155
10007796,Mathematics,MMath,FullTime,0,1,4,23000,163.75
10007796,Mathematics,BSc,FullTime,0,0,3,23000,140.5
10007796,Mathematics,BSc,FullTime,2,0,4,23000,109.63636363636364
10003957,Mathematics,BSc,FullTime,2,2,5,21000,124.85714285714286
10003957,Mathematics,BSc,FullTime,0,2,4,21000,124.85714285714286
10006842,Mathematics,BSc,FullTime,0,0,3,22000,137.7058823529412
10004048,Mathematics,BSc,FullTime,1,0,3,27000,70.42857142857143
10004113,Mathematics,BSc,FullTime,0,2,4,24000,145.57894736842104
10004113,Mathematics,MMath,FullTime,0,0,4,24000,163.75
10004113,Mathematics,MMath,FullTime,0,2,5,24000,163.75
10004113,Mathematics,BSc,FullTime,0,0,3,24000,145.57894736842104
10004180,Mathematics,BSc,FullTime,0,0,3,21000,124.0
10004180,Mathematics,MMath,FullTime,0,0,4,21000,117.0
10004180,Mathematics,BSc,FullTime,2,0,4,21000,116.16666666666667
10007798,Mathematics,MMath,FullTime,1,0,4,22000,186.55555555555554
10007798,Mathematics,BSc,FullTime,1,0,3,22000,186.0
10007799,Mathematics,BSc,FullTime,0,1,3,21000,155.05263157894737
10007799,Mathematics,MMath,FullTime,0,1,4,21000,165.0
10001282,Mathematics,MMath,FullTime,1,1,4,21000,135.5
10001282,Mathematics,BSc,FullTime,1,1,3,21000,135.5
10004797,Mathematics,BSc,FullTime,0,0,3,22000,112
10004797,Mathematics,MMath,FullTime,0,0,4,22000,125.33333333333333
10004797,Mathematics,MMath,FullTime,0,2,5,22000,125.33333333333333
10004797,Mathematics,BSc,FullTime,0,2,4,22000,119.5
10007154,Mathematics,MMath,FullTime,1,0,4,23000,181.76923076923077
10007154,Mathematics,BSc,FullTime,1,0,3,23000,182.92307692307693
10007801,Mathematics,BSc,FullTime,1,1,3,24000,112
10007155,Mathematics,MMath,FullTime,0,1,4,25000,107.5909090909091
10007155,Mathematics,BSc,FullTime,0,1,3,25000,106.0
10007775,Mathematics,BSc,FullTime,0,0,3,26000,134.5625
10007775,Mathematics,MSci,FullTime,0,0,4,26000,156.0
10007775,Mathematics,MSci,FullTime,0,0,5,26000,156.0
10007775,Mathematics,BSc,FullTime,0,2,4,26000,134.5625
10007775,Mathematics,BSc,FullTime,0,0,4,26000,134.5625
10007802,Mathematics,BSc,FullTime,0,1,3,25000,131.125
10007802,Mathematics,MMath,FullTime,0,1,4,25000,132.56521739130434
10005553,Mathematics,BSc,FullTime,0,0,3,25000,133.0
10005553,Mathematics,MSci,FullTime,0,0,4,25000,144
10005790,Mathematics,BSc,FullTime,0,1,3,22000,107.25
10007157,Mathematics,MMath,FullTime,0,1,4,22000,165.0
10007157,Mathematics,MMath,FullTime,0,1,4,22000,182.0
10007157,Mathematics,BSc,FullTime,0,1,3,22000,152.25
10007158,Mathematics,MMath,FullTime,2,0,5,25000,169.0
10007158,Mathematics,BSc,FullTime,2,0,4,25000,163.26086956521738
10007158,Mathematics,BSc,FullTime,0,0,3,25000,163.26086956521738
10007158,Mathematics,MMath,FullTime,0,0,4,25000,169.0
10007803,Mathematics,MA,FullTime,0,0,4,23000,176
10007803,Mathematics,MMath,FullTime,0,0,5,23000,241.5
10007803,Mathematics,BSc,FullTime,0,0,4,23000,230.42857142857142
10007160,Mathematics,BSc,FullTime,0,0,3,25000,144
10007160,Mathematics,MMath,FullTime,0,0,4,25000,176
10007160,Mathematics,MMath,FullTime,0,2,5,25000,176
10007160,Mathematics,BSc,FullTime,0,2,4,25000,144
10007806,Mathematics,BSc,FullTime,1,1,3,25000,133.73529411764707
10007806,Mathematics,MMath,FullTime,1,1,4,25000,167.5
10007784,Mathematics,BSc,FullTime,0,0,3,27000,195.1578947368421
10007784,Mathematics,MSci,FullTime,0,0,4,27000,227.75
10007164,Mathematics,BSc,FullTime,1,1,3,23000,135.5
10007164,Mathematics,MMath,FullTime,0,1,4,23000,133.0
10007164,Mathematics,BSc,FullTime,2,1,4,23000,133.0
10007163,Mathematics,BSc,FullTime,0,1,3,24000,208
10007163,Mathematics,MMath,FullTime,0,1,4,24000,208
10007167,Mathematics,BA/BSc,FullTime,0,1,4,22000,161.95652173913044
10007167,Mathematics,BA/BSc,FullTime,0,1,3,22000,157.75
10007167,Mathematics,MMath,FullTime,0,1,4,22000,162.14285714285714
