"Institution, Course, Type, Study Mode, Foundation Year(s), Sandwich Year(s), Total years, Salary (6 months after), Median Tariff"
10007850,Physics,BSc,FullTime,0,2,4,25000,195.75
10007850,Physics,MPhys,FullTime,0,0,4,25000,209.875
10007850,Physics,BSc,FullTime,0,0,4,25000,201.64285714285714
10007850,Physics,MPhys,FullTime,0,0,4,25000,176
10007850,Physics,BSc,FullTime,0,0,3,25000,187.25
10006840,Physics,MSci,FullTime,1,0,4,25000,213.625
10006840,Physics,BSc,FullTime,1,0,3,25000,188.85714285714286
10007786,Physics,BSc,FullTime,0,0,3,25000,171.25
10007786,Physics,MSci,FullTime,0,0,4,25000,160
10007814,Physics,BSc,FullTime,0,0,3,23000,139.25
10007814,Physics,MPhys,FullTime,0,2,5,23000,144.88235294117646
10007814,Physics,BSc,FullTime,0,2,4,23000,144.88235294117646
10007814,Physics,MPhys,FullTime,0,0,4,23000,153.0
10007141,Physics,MPhys,FullTime,2,0,5,20000,123.25
10007141,Physics,BSc,FullTime,2,0,4,20000,99.75
10007141,Physics,BSc,FullTime,1,0,3,20000,99.75
10007141,Physics,MPhys,FullTime,1,0,4,20000,123.25
10001883,Physics,BSc,FullTime,0,1,3,20000,106.0
10007143,Physics,BSc,FullTime,0,1,3,25000,213.0
10007143,Physics,MPhys,FullTime,0,1,4,25000,220.6315789473684
10007143,Physics,BSc,FullTime,2,1,4,25000,222.21052631578948
10007789,Physics,BSc,FullTime,2,0,4,21000,138.22727272727272
10007789,Physics,BSc,FullTime,0,0,3,21000,138.22727272727272
10007789,Physics,MPhys,FullTime,0,0,4,21000,138.22727272727272
10007792,Physics,MPhys,FullTime,0,1,4,25000,181.0
10007792,Physics,BSc,FullTime,0,0,3,25000,172.0
10007764,Physics,BSc,FullTime,0,0,4,20000,128
10007764,Physics,MPhys,FullTime,0,0,5,20000,160
10007147,Physics,BSc,FullTime,0,1,3,25000,118.66666666666667
10007147,Physics,MPhys,FullTime,0,1,4,25000,124.0
10007149,Physics,BSc,FullTime,0,0,3,25000,113.76470588235294
10007149,Physics,MPhys,FullTime,0,0,4,25000,113.76470588235294
10003270,Physics,BSc,FullTime,0,0,3,26000,231.5
10003270,Physics,MSci,FullTime,0,0,4,26000,230.0
10007767,Physics,BSc,FullTime,0,0,3,20000,96
10007150,Physics,MPhys,FullTime,0,0,4,25000,138.0
10007150,Physics,BSc,FullTime,0,0,3,25000,122.5
10003645,Physics,BSc,FullTime,0,0,3,26000,178.5
10003645,Physics,MSci,FullTime,0,0,4,26000,172.85714285714286
10007768,Physics,MPhys,FullTime,0,0,4,23000,179.75
10007768,Physics,BSc,FullTime,0,0,3,23000,144
10007795,Physics,BSc,FullTime,0,1,3,23000,156.0
10007795,Physics,MPhys,FullTime,0,1,4,23000,172.0
10007796,Physics,BSc,FullTime,2,0,4,25000,139.8421052631579
10007796,Physics,MPhys,FullTime,0,1,4,25000,140.0
10007796,Physics,BSc,FullTime,0,1,3,25000,135.5
10007151,Physics,BSc,FullTime,0,1,3,20000,138.5
10007151,Physics,BSc,FullTime,2,1,4,20000,138.5
10007151,Physics,MPhys,FullTime,0,1,4,20000,138.5
10006842,Physics,BSc,FullTime,0,0,3,23000,154.0
10004113,Physics,BSc,FullTime,0,0,3,25000,133.0
10004113,Physics,BSc,FullTime,0,2,4,25000,133.0
10004113,Physics,MPhys,FullTime,0,0,4,25000,151.5
10004113,Physics,MPhys,FullTime,0,2,5,25000,151.5
10007798,Physics,BSc,FullTime,1,0,3,25000,199.5
10007798,Physics,MPhys,FullTime,1,0,4,25000,205.26923076923077
10007799,Physics,MPhys,FullTime,0,0,4,20000,170.0
10007799,Physics,BSc,FullTime,0,0,3,20000,162.14285714285714
10001282,Physics,MPhys,FullTime,0,1,4,20000,136.57142857142858
10001282,Physics,BSc,FullTime,1,1,3,20000,136.57142857142858
10004797,Physics,BSc,FullTime,0,0,3,23000,96
10004797,Physics,BSc,FullTime,0,2,4,23000,117.0
10004797,Physics,MSci,FullTime,0,0,4,23000,117.0
10007154,Physics,MSci,FullTime,1,0,4,24000,185.47368421052633
10007154,Physics,BSc,FullTime,1,0,3,24000,166.0
10007155,Physics,BSc,FullTime,0,1,3,25000,114.14285714285714
10007775,Physics,MSci,FullTime,0,0,5,27000,140.85714285714286
10007775,Physics,BSc,FullTime,0,0,4,27000,126.16666666666667
10007775,Physics,BSc,FullTime,0,0,3,27000,126.16666666666667
10007775,Physics,MSci,FullTime,0,0,4,27000,140.85714285714286
10005553,Physics,MSci,FullTime,0,0,4,25000,135.5
10005553,Physics,BSc,FullTime,0,0,3,25000,128
10007156,Physics,MPhys,FullTime,0,1,4,24000,136.57142857142858
10007156,Physics,BSc,FullTime,0,1,3,24000,105.54545454545455
10005790,Physics,BSc,FullTime,0,1,3,20000,114.5
10007157,Physics,MPhys,FullTime,0,1,4,24000,164.82142857142858
10007157,Physics,BSc,FullTime,1,1,3,24000,153.0
10007157,Physics,MPhys,FullTime,0,1,4,24000,165.625
10007158,Physics,MPhys,FullTime,0,1,4,25000,165.0
10007158,Physics,MPhys,FullTime,2,0,4,25000,165.0
10007158,Physics,BSc,FullTime,0,0,3,25000,128
10007158,Physics,BSc,FullTime,2,0,4,25000,128
10007803,Physics,MPhys,FullTime,0,0,5,25000,227.75
10007803,Physics,BSc,FullTime,0,0,4,25000,208
10007160,Physics,BSc,FullTime,0,2,4,25000,153.0
10007160,Physics,MPhys,FullTime,0,0,4,25000,187.25
10007160,Physics,BSc,FullTime,0,0,3,25000,153.0
10007806,Physics,BSc,FullTime,1,1,3,25000,122.9090909090909
