"Institution, Course, Type, Study Mode, Foundation Year(s), Sandwich Year(s), Total years, Salary (6 months after), Median Tariff"
10006840,Physiotherapy,BSc,FullTime,0,0,3,22000,144
10000824,Physiotherapy,BSc,FullTime,0,0,3,22000,151.5
10007785,Physiotherapy,BSc,FullTime,0,0,3,22000,167.5
10000886,Physiotherapy,BSc,FullTime,0,0,3,22000,138.0
10000961,Physiotherapy,BSc,FullTime,0,0,3,22000,144.9375
10007814,Physiotherapy,BSc,FullTime,0,0,3,22000,164.77272727272728
10007141,Physiotherapy,BSc,FullTime,0,0,3,22000,162.14285714285714
10001726,Physiotherapy,BSc,FullTime,0,0,3,22000,155.3793103448276
10007842,Physiotherapy,BSc,FullTime,0,0,3,22000,150.42857142857142
10007789,Physiotherapy,BSc,FullTime,0,0,3,22000,167.5
10007144,Physiotherapy,BSc,FullTime,0,0,3,22000,123.66666666666667
10007791,Physiotherapy,BSc,FullTime,0,0,3,22000,114.14285714285714
10007147,Physiotherapy,BSc,PartTime,0,0,,29000,0
10007147,Physiotherapy,BSc,FullTime,0,0,3,22000,147.0
10007148,Physiotherapy,BSc,FullTime,0,0,3,22000,134.42857142857142
10007767,Physiotherapy,BSc,FullTime,0,0,3,22000,151.5
10003645,Physiotherapy,BSc,FullTime,0,0,3,23000,167.5
10003861,Physiotherapy,BSc,FullTime,0,0,3,22000,138.71428571428572
10006842,Physiotherapy,BSc,FullTime,0,0,3,22000,154.0
10004078,Physiotherapy,MEng,FullTime,0,0,4,24000,112
10004078,Physiotherapy,BSc,FullTime,0,0,3,24000,112
10004180,Physiotherapy,BSc,FullTime,0,0,3,22000,144
10004180,Physiotherapy,BSc,FullTime,2,0,4,22000,144
10001282,Physiotherapy,BSc,FullTime,0,0,3,22000,144
10007154,Physiotherapy,BSc,FullTime,1,0,3,22000,163.75
10004930,Physiotherapy,BSc,PartTime,0,0,,28000,0
10004930,Physiotherapy,BSc,FullTime,0,0,3,22000,169.0
10007801,Physiotherapy,BSc,FullTime,0,0,3,22000,167.5
10005500,Physiotherapy,BSc,FullTime,0,0,4,22000,201.0
10007156,Physiotherapy,BSc,FullTime,0,0,3,22000,146.14285714285714
10007156,Physiotherapy,BSc,PartTime,0,0,,22000,0
10005790,Physiotherapy,BSc,FullTime,0,0,3,22000,151.77777777777777
10007158,Physiotherapy,BSc,FullTime,0,0,3,22000,169.0
10007782,Physiotherapy,BSc,FullTime,0,0,3,23000,128
10007161,Physiotherapy,BSc,FullTime,0,0,3,22000,133.0
10007164,Physiotherapy,BSc,FullTime,0,0,3,22000,153.0
10007166,Physiotherapy,BSc,FullTime,0,0,3,21000,122.0
10007139,Physiotherapy,BSc,FullTime,0,0,3,22000,156.0
10007713,Physiotherapy,BHSc,FullTime,0,0,3,22000,151.5
