"Institution, Course, Type, Study Mode, Foundation Year(s), Sandwich Year(s), Total years, Salary (6 months after), Median Tariff"
10000415,Agriculture,BSc,FullTime,1,0,3,18000,0
10000415,Agriculture,FdSc,FullTime,1,0,2,15600,0
10000721,Agriculture,FDS,FullTime,0,0,2,15725,0
10000721,Agriculture,FDS,FullTime,0,0,2,15725,0
10002843,Agriculture,BSc,FullTime,1,0,3,20000,138.0
10002843,International  Agriculture,BSc,FullTime,0,0,3,20000,138.0
10040812,Agriculture,BSc,FullTime,0,2,4,20000,146.72727272727272
10040812,Agriculture,FdSc,FullTime,0,2,3,19000,104.25
10040812,Agriculture  (Extended),FdSc,FullTime,2,2,4,19000,0
10040812,Agriculture  with  Animal  Science,BSc,FullTime,0,2,4,20000,139.25
10040812,Agriculture  with  Crop  Management,BSc,FullTime,0,2,4,20000,135.5
10040812,Agriculture  with  Farm  Business  Management,BSc,FullTime,0,2,4,20000,128
10040812,Agriculture  with  Mechanisation,BSc,FullTime,0,2,4,20000,128
10040812,Agriculture  with  Mechanisation,FdSc,FullTime,0,2,3,19000,122.0
10002919,Applied  Agriculture,BSc,FullTime,0,1,3,20000,0
10002919,Applied  Agriculture  (Crop  Production),BSc,FullTime,0,1,3,20000,0
10002919,Applied  Agriculture  (International)  (SW),BSc,FullTime,0,1,3,20000,0
10002919,Applied  Agriculture  (Livestock  Production),BSc,FullTime,0,1,3,20000,0
10007147,Environmental  Management  With  Agriculture,BSc,FullTime,0,1,3,20000,100.28571428571428
10004478,Agriculture,FdSc,FullTime,0,0,2,16000,0
10004478,Agriculture,BSc,FullTime,0,0,3,19000,0
10007799,Agriculture,BSc,FullTime,0,0,3,20000,147.75
10007799,Agriculture  with  Agronomy,BSc,FullTime,0,0,3,20000,145.57894736842104
10007799,Agriculture  with  Animal  Production  Sciences,BSc,FullTime,0,0,3,20000,145.57894736842104
10007799,Agriculture  with  Farm  Business  Management,BSc,FullTime,0,0,3,20000,145.57894736842104
10007154,Agriculture,BSc,FullTime,1,1,3,20000,157.125
10007802,Agriculture,BSc,FullTime,0,1,3,20000,144
10007802,Agriculture  with  Placement  Year,BSc,FullTime,0,2,4,20000,138.0
10005404,Agriculture  (Part-Time),FdSc,PartTime,0,0,,24000,0
10005404,Agriculture  with  Dairy  Herd  Management  (Part-Time),FdSc,PartTime,0,0,,24000,0
10005545,Agriculture,BSc,FullTime,0,1,3,21000,112
10005545,Agriculture  &  Farm  Management,FdSc,FullTime,0,0,2,24000,85.0
10007657,Agriculture,BSc,FullTime,0,0,3,20000,130.64705882352942
10007657,Agriculture  (Arable  Crop  Management),BSc,FullTime,0,0,3,20000,130.64705882352942
10007657,Agriculture  (Farm  Livestock  Production),BSc,FullTime,0,0,3,20000,130.64705882352942
10007657,Agriculture  (Sustainable  Environments),BSc,FullTime,0,0,3,20000,130.64705882352942
