"Institution, Course, Type, Study Mode, Foundation Year(s), Sandwich Year(s), Total years, Salary (6 months after), Median Tariff"
10007857,Biology,BSc,FullTime,0,0,3,18000,119.5
10007857,Biology,MBiol,FullTime,0,0,4,18000,96
10000571,Biology,BSc,FullTime,0,0,3,18000,106.0
10007850,Biology,BSc,FullTime,0,0,3,20000,162.5
10007850,Biology,BSc,FullTime,0,2,4,20000,187.25
10006841,Biology,BSc,FullTime,0,0,3,17000,70.0
10007786,Biology,BSc,FullTime,0,0,3,20000,160
10007786,Biology,MSci,FullTime,0,0,4,20000,199.5
10001143,Biology,BSc,FullTime,2,0,4,20000,74.0
10001143,Biology,BSc,FullTime,0,0,3,20000,74.0
10007141,Biology,BSc,FullTime,1,0,3,17000,108.11538461538461
10007141,Biology,BSc,FullTime,2,0,4,17000,108.11538461538461
10007848,Biology,BSc,FullTime,0,0,3,18000,96
10007851,Biology,BSc,FullTime,1,0,3,18000,100.28571428571428
10007823,Biology,BSc,FullTime,0,1,3,17000,118.0
10007145,Biology,BSc,FullTime,0,0,3,18000,107.25
10007146,Biology,MBiol,FullTime,0,0,4,21000,92.85714285714286
10007146,Biology,BSc,FullTime,0,0,3,21000,92.85714285714286
10007149,Biology,BSc,FullTime,0,0,3,18000,109.33333333333333
10007767,Biology,BSc,FullTime,0,1,3,18000,125.63636363636364
10007150,Biology,BSc,FullTime,0,0,3,20000,137.0
10007768,Biology,MSci,FullTime,0,0,4,18000,157.125
10007768,Biology,BSc,FullTime,0,0,3,18000,152.57142857142858
10007795,Biology,MBiol,FullTime,0,1,4,19000,161.30434782608697
10007795,Biology,BSc,FullTime,0,1,3,19000,156.32142857142858
10007151,Biology,BSc,FullTime,0,1,3,18000,123.25
10007151,Biology,BSc,FullTime,2,1,4,18000,123.25
10007151,Biology,MBio,FullTime,0,0,4,18000,123.25
10003957,Biology,BSc,FullTime,2,1,4,18000,121.0
10003957,Biology,BSc,FullTime,0,1,3,18000,121.0
10004180,Biology,BSc,FullTime,2,0,5,17000,96
10004180,Biology,BSc,FullTime,0,0,4,17000,114.5
10004180,Biology,MBiol,FullTime,0,0,4,17000,124.5
10004180,Biology,BSc,FullTime,0,1,3,17000,118.0
10004180,Biology,BSc,FullTime,2,1,4,17000,102.42857142857143
10007798,Biology,BSc,FullTime,1,0,3,18000,162.14285714285714
10007798,Biology,BSc,FullTime,1,2,4,18000,180.28571428571428
10007798,Biology,MSci,FullTime,1,0,4,18000,171.11111111111111
10004351,Biology,BSc,FullTime,1,1,3,20000,102.0
10007799,Biology,BSc,FullTime,0,0,3,18000,144.9375
10007799,Biology,MBiol,FullTime,0,0,4,18000,149.0
10007138,Biology,BSc,FullTime,0,0,3,18000,83.75
10007138,Biology,BSc,FullTime,2,0,4,18000,83.75
10001282,Biology,BSc,FullTime,1,1,3,18000,139.3793103448276
10007154,Biology,MSci,FullTime,1,0,4,18000,156.5
10007154,Biology,BSc,FullTime,1,0,3,18000,147.75
10004930,Biology,BSc,FullTime,1,1,3,20000,125.125
10004930,Biology,MBiol,FullTime,0,1,4,20000,125.125
10007155,Biology,BSc,FullTime,0,0,3,19000,96
10007155,Biology,MBiol,FullTime,0,0,4,19000,120.03571428571429
10007775,Biology,BSc,FullTime,0,0,4,22000,134.42857142857142
10007775,Biology,BSc,FullTime,0,0,3,22000,134.42857142857142
10005553,Biology,BSc,FullTime,0,0,3,21000,140.0
10007156,Biology,BSc,FullTime,0,1,3,18000,122.0
10005790,Biology,BSc,FullTime,0,1,3,18000,119.5
10007157,Biology,BSc,FullTime,0,1,3,18000,161.55172413793105
10007157,Biology,BSc,FullTime,0,0,3,18000,167.5
10007157,Biology,MBiolSci,FullTime,0,0,4,18000,178.5
10007157,Biology,MBiolSci,FullTime,0,0,4,18000,188.0
10007158,Biology,MSci,FullTime,0,1,4,20000,138.16129032258064
10007158,Biology,BSc,FullTime,0,1,3,20000,137.54545454545453
10007803,Biology,BSc,FullTime,0,0,4,18000,213.0
10007806,Biology,BSc,FullTime,1,1,3,20000,138.0
10007806,Biology,MSci,FullTime,1,1,4,20000,126.21052631578948
10007855,Biology,BSc,FullTime,0,0,3,18000,131.75
10007855,Biology,BSc,FullTime,2,0,4,18000,107.25
10007855,Biology,BSc,FullTime,0,2,4,18000,121.3103448275862
10007166,Biology,MBiol,PartTime,0,0,,20000,0
10007166,Biology,MBiol,FullTime,0,0,4,18000,115.0
10007139,Biology,MBiol,FullTime,0,0,4,19000,96
10007139,Biology,BSc,FullTime,0,0,3,19000,106.71428571428571
10007167,Biology,BSc,FullTime,0,1,3,19000,172.0
10007167,Biology,MBiol,FullTime,0,1,4,19000,187.25
