"Institution, Course, Type, Study Mode, Foundation Year(s), Sandwich Year(s), Total years, Salary (6 months after), Median Tariff"
10000291,Computer  Science,BEng,FullTime,0,2,4,24000,94.21052631578948
10000291,Computer  Science,BEng,FullTime,0,0,3,24000,80
10007857,Computer  Science,BSc,FullTime,0,0,3,21000,112
10007850,Computer  Science,BSc,FullTime,0,0,3,25000,173.125
10007850,Computer  Science,MComp,FullTime,0,0,5,25000,180.28571428571428
10007850,Computer  Science,BSc,FullTime,0,0,4,25000,180.28571428571428
10007850,Computer  Science,MComp,FullTime,0,0,4,25000,160
10007850,Computer  Science,MComp,FullTime,0,2,5,25000,160
10007850,Computer  Science,BSc,FullTime,0,2,4,25000,160
10007152,Computer  Science,BSc,FullTime,0,2,5,24000,87.10526315789474
10007152,Computer  Science,BSc,FullTime,0,0,3,24000,64
10007152,Computer  Science,BSc,FullTime,2,0,5,24000,87.10526315789474
10007140,Computer  Science,MSci,FullTime,0,1,4,22000,125.92857142857143
10007140,Computer  Science,BSc,FullTime,0,1,3,22000,119.5
10006840,Computer  Science,BSc,FullTime,1,0,3,24000,183.5
10006840,Computer  Science,MSci,FullTime,1,0,4,24000,201.0
10007785,Computer  Science,BSc,FullTime,0,0,3,21000,131.0
10007785,Computer  Science,BSc,FullTime,0,2,4,21000,130.5
10000886,Computer  Science,BSc,FullTime,0,1,3,25000,118.0
10007786,Computer  Science,BSc,FullTime,0,0,3,25000,187.25
10007786,Computer  Science,MEng,FullTime,0,0,4,25000,203.25
10000961,Computer  Science,BSc,FullTime,1,2,4,26000,96
10000961,Computer  Science,BSc,FullTime,1,0,3,26000,128
10007788,Computer  Science,BA,FullTime,0,0,3,25000,242.58620689655172
10001143,Computer  Science,BSc,FullTime,0,0,3,25000,108.0
10007854,Computer  Science,BSc,FullTime,1,1,3,21000,103.5
10007814,Computer  Science,BSc,FullTime,0,0,3,22000,155.25
10007814,Computer  Science,BSc,FullTime,0,2,4,22000,151.5
10007141,Computer  Science,BSc,FullTime,2,1,4,21000,122.38461538461539
10007141,Computer  Science,BSc,FullTime,1,1,3,21000,122.38461538461539
10007848,Computer  Science,BSc,FullTime,0,0,3,21000,105.0
10007848,Computer  Science,MComp,FullTime,0,0,4,21000,112.68181818181819
10001478,Computer  Science,BSc,FullTime,0,1,3,26000,151.85714285714286
10001726,Computer  Science,BSc,FullTime,0,1,3,23000,129.76470588235293
10001883,Computer  Science,BSc,FullTime,1,1,3,23000,105.54545454545455
10007851,Computer  Science,BSc,FullTime,1,1,3,23000,96
10007143,Computer  Science,BSc,FullTime,2,0,4,25000,192
10007143,Computer  Science,MEng,FullTime,0,0,4,25000,219.25
10007143,Computer  Science,BSc,FullTime,0,0,3,25000,198.0
10007144,Computer  Science,BSc,PartTime,1,1,,26000,0
10007144,Computer  Science,BSc,FullTime,1,1,3,26000,117.0
10007823,Computer  Science,BSc,FullTime,0,1,3,21000,122.0
10007791,Computer  Science,BSc,FullTime,2,0,4,24000,88.5
10007791,Computer  Science,BSc,FullTime,0,2,4,24000,133.0
10007791,Computer  Science,BSc,FullTime,0,0,3,24000,128
10007791,Computer  Science,BSc,FullTime,0,0,4,24000,151.5
10007791,Computer  Science,MSci,FullTime,0,0,4,24000,118.5625
10007791,Computer  Science,MSci,FullTime,0,2,5,24000,118.5625
10007833,Computer  Science,BSc,FullTime,1,0,3,21000,48
10002718,Computer  Science,BSc,FullTime,0,1,3,26000,121.16666666666667
10007146,Computer  Science,BSc,PartTime,0,1,,26000,0
10007146,Computer  Science,BSc,FullTime,0,1,3,25000,145.8
10007764,Computer  Science,BSc,FullTime,0,0,4,23000,163.0
10007147,Computer  Science,MEng,FullTime,0,1,4,25000,125.63636363636364
10007147,Computer  Science,BSc,FullTime,0,1,3,25000,118.81818181818181
10007149,Computer  Science,BSc,FullTime,0,0,3,22000,118.42857142857143
10007149,Computer  Science,MEng,FullTime,0,0,4,22000,118.42857142857143
10007767,Computer  Science,BSc,FullTime,0,1,3,22000,133.0
10007767,Computer  Science,MComp,FullTime,0,1,4,22000,121.75
10007150,Computer  Science,BSc,FullTime,0,0,3,25000,147.75
10003645,Computer  Science,BSc,FullTime,0,1,3,26000,167.28571428571428
10003645,Computer  Science,MSci,FullTime,0,0,4,26000,165.0
10003678,Computer  Science,BSc,FullTime,0,2,4,25000,105.0
10003678,Computer  Science,BSc,FullTime,0,0,3,25000,103.5
10003678,Computer  Science,BSc,PartTime,0,0,,26000,0
10007768,Computer  Science,BSc,FullTime,0,0,3,22000,161.53846153846155
10003861,Computer  Science,MEng,FullTime,0,0,4,22000,96
10007795,Computer  Science,BSc,FullTime,0,1,3,23000,169.23076923076923
10007795,Computer  Science,MEng,FullTime,0,1,4,23000,156.0
10007796,Computer  Science,BSc,FullTime,0,2,4,24000,156.0
10007796,Computer  Science,BSc,FullTime,0,0,4,24000,149.25
10007796,Computer  Science,BSc,FullTime,2,0,4,24000,149.25
10007796,Computer  Science,MComp,FullTime,0,1,4,24000,161.66666666666666
10007796,Computer  Science,BSc,FullTime,0,0,3,24000,147.75
10007151,Computer  Science,BSc,FullTime,2,1,4,22000,130.4
10007151,Computer  Science,MComp,FullTime,0,1,4,22000,130.14285714285714
10007151,Computer  Science,BSc,FullTime,0,1,3,22000,129.15384615384616
10003956,Computer  Science,BSc,FullTime,0,2,4,21000,123.25
10003956,Computer  Science,BSc,FullTime,0,0,3,21000,122.0
10003957,Computer  Science,BSc,FullTime,2,2,5,21000,139.25
10003957,Computer  Science,BSc,FullTime,0,2,4,21000,139.25
10003957,Computer  Science,MComp,FullTime,0,1,4,21000,139.25
10006842,Computer  Science,BSc,FullTime,0,0,3,22000,140.0
10006842,Computer  Science,MEng,FullTime,0,0,4,22000,139.25
10004048,Computer  Science,BSc,FullTime,1,0,3,26000,91.25
10004078,Computer  Science,BSc,FullTime,1,1,3,26000,53.0
10004113,Computer  Science,BSc,FullTime,0,2,4,25000,147.46153846153845
10004113,Computer  Science,BSc,FullTime,0,0,3,25000,147.46153846153845
10004113,Computer  Science,MSci,FullTime,0,0,4,25000,145.36363636363637
10004113,Computer  Science,MSci,FullTime,0,2,5,25000,145.36363636363637
10004180,Computer  Science,BSc,FullTime,2,1,4,21000,124.3529411764706
10004180,Computer  Science,BSc,FullTime,0,1,3,21000,134.0
10004180,Computer  Science,MComp,FullTime,0,0,4,21000,129.15384615384616
10007798,Computer  Science,BSc,FullTime,1,2,4,22000,186.0
10007798,Computer  Science,MEng,FullTime,1,0,4,22000,230.0
10007798,Computer  Science,MEng,FullTime,1,2,5,22000,179.26086956521738
10007798,Computer  Science,BSc,FullTime,1,0,3,22000,181.0
10004351,Computer  Science,BSc,FullTime,1,1,3,25000,132.41176470588235
10007799,Computer  Science,BSc,FullTime,0,0,3,22000,154.9090909090909
10007799,Computer  Science,MComp,FullTime,0,0,4,22000,176
10001282,Computer  Science,MComp,FullTime,0,1,4,21000,133.625
10001282,Computer  Science,BSc,FullTime,1,1,3,21000,133.625
10004797,Computer  Science,BSc,FullTime,0,2,4,22000,112
10004797,Computer  Science,BSc,FullTime,0,0,3,22000,128
10004797,Computer  Science,MComp,FullTime,0,2,5,22000,135.5
10004797,Computer  Science,MComp,FullTime,0,1,4,22000,135.5
10007154,Computer  Science,MSci,FullTime,1,0,4,23000,169.0
10007154,Computer  Science,BSc,FullTime,1,0,3,23000,156.1153846153846
10004930,Computer  Science,BSc,FullTime,1,1,3,25000,115.75
10007801,Computer  Science,MSci,FullTime,0,1,4,24000,117.625
