"Institution, Course, Type, Study Mode, Foundation Year(s), Sandwich Year(s), Total years, Salary (6 months after), Median Tariff"
10007849,Computer  Arts,BA,FullTime,0,0,4,17000,176
10007849,Computer  Game  Applications  Development,BSc,FullTime,0,0,4,17000,156.5
10007849,Computer  Games  Technology,BSc,FullTime,0,0,4,17000,195.75
10000291,Applied  Computer  Science,BSc,FullTime,0,0,3,24000,94.21052631578948
10000291,Computer  Games  Art,BA,FullTime,0,0,3,24000,133.0
10000291,Computer  Gaming  Technology,BSc,FullTime,0,0,3,24000,98.5
10000291,Computer  Gaming  Technology,BSc,FullTime,2,0,4,24000,57.375
10000291,Computer  Gaming  Technology,BSc,FullTime,0,2,4,24000,94.21052631578948
10000291,Computer  Networks,BSc,FullTime,0,2,4,24000,94.21052631578948
10000291,Computer  Networks,BSc,FullTime,0,0,3,24000,87.5
10000291,Computer  Science,BEng,FullTime,0,2,4,24000,94.21052631578948
10000291,Computer  Science,BEng,FullTime,0,0,3,24000,80
10007857,Computer  Information  Systems,BSc,FullTime,0,0,3,21000,106.0
10007857,Computer  Information  Systems  for  Business,BSc,FullTime,0,0,3,21000,121.23076923076923
10007857,Computer  Science,BSc,FullTime,0,0,3,21000,112
10007857,Computer  Systems  Engineering,BEng,FullTime,0,0,3,24000,115.75
10007857,Computer  Systems  Engineering,BSc,FullTime,0,0,3,24000,115.75
10007857,Computer  Systems  Engineering,MEng,FullTime,0,0,4,24000,115.75
10007850,Computer  Science,BSc,FullTime,0,0,3,25000,173.125
10007850,Computer  Science,MComp,FullTime,0,0,5,25000,180.28571428571428
10007850,Computer  Science,BSc,FullTime,0,0,4,25000,180.28571428571428
10007850,Computer  Science,MComp,FullTime,0,0,4,25000,160
10007850,Computer  Science,MComp,FullTime,0,2,5,25000,160
10007850,Computer  Science,BSc,FullTime,0,2,4,25000,160
10007850,Computer  Systems  Engineering,BEng,FullTime,0,0,3,26000,170.3125
10007850,Computer  Systems  Engineering,BEng,FullTime,0,2,4,26000,170.3125
10007850,Computer  Systems  Engineering,MEng,FullTime,0,0,4,26000,170.3125
10007850,Computer  Systems  Engineering,MEng,FullTime,0,2,5,26000,170.3125
10007152,Computer  Animation  and  Visual  Effects,BSc,FullTime,0,0,3,17000,74.0
10007152,Computer  Games  Development,BSc,FullTime,0,2,5,24000,87.10526315789474
10007152,Computer  Games  Development,BSc,FullTime,2,0,5,24000,87.10526315789474
10007152,Computer  Games  Development,BSc,FullTime,0,0,3,24000,82.5
10007152,Computer  Networking,BSc,FullTime,0,2,5,24000,87.10526315789474
10007152,Computer  Networking,BSc,FullTime,0,0,3,24000,64
10007152,Computer  Networking,BSc,FullTime,2,0,5,24000,87.10526315789474
10007152,Computer  Science,BSc,FullTime,0,2,5,24000,87.10526315789474
10007152,Computer  Science,BSc,FullTime,0,0,3,24000,64
10007152,Computer  Science,BSc,FullTime,2,0,5,24000,87.10526315789474
10007152,Computer  Science  and  Robotics,BSc,FullTime,0,2,5,24000,87.10526315789474
10007152,Computer  Science  and  Robotics,BSc,FullTime,2,0,5,24000,87.10526315789474
10007152,Computer  Science  and  Robotics,BSc,FullTime,0,0,3,24000,87.10526315789474
10007152,Computer  Science  and  Software  Engineering,BSc,FullTime,0,2,5,24000,87.10526315789474
10007152,Computer  Science  and  Software  Engineering,BSc,FullTime,2,0,5,24000,87.10526315789474
10007152,Computer  Science  and  Software  Engineering,BSc,FullTime,0,0,3,24000,87.10526315789474
10007152,Computer  Security  and  Forensics,BSc,FullTime,0,2,5,24000,87.10526315789474
10007152,Computer  Security  and  Forensics,BSc,FullTime,2,0,5,24000,87.10526315789474
10007152,Computer  Security  and  Forensics,BSc,FullTime,0,0,3,24000,100.28571428571428
10007140,Computer  Forensics,MSci,FullTime,0,1,4,22000,125.92857142857143
10007140,Computer  Forensics,BSc,FullTime,0,1,3,19000,112
10007140,Computer  Games  Technology,MSci,FullTime,0,1,4,22000,125.92857142857143
10007140,Computer  Games  Technology,BSc,FullTime,0,1,3,22000,123.25
10007140,Computer  Networks,MSci,FullTime,0,1,4,22000,125.92857142857143
10007140,Computer  Networks,BSc,FullTime,0,1,3,25000,137.0
10007140,Computer  Networks  and  Security,MSci,FullTime,0,1,4,22000,125.92857142857143
10007140,Computer  Networks  and  Security,BSc,FullTime,0,1,3,25000,128
10007140,Computer  Science,MSci,FullTime,0,1,4,22000,125.92857142857143
10007140,Computer  Science,BSc,FullTime,0,1,3,22000,119.5
10006840,Artificial  Intelligence  and  Computer  Science,BSc,FullTime,1,0,3,24000,187.42857142857142
10006840,Artificial  Intelligence/Computer  Science  with  an  Industrial  Year,BSc,FullTime,1,2,4,24000,171.25
10006840,Computer  Science,BSc,FullTime,1,0,3,24000,183.5
10006840,Computer  Science,MSci,FullTime,1,0,4,24000,201.0
10006840,Computer  Science  and  Software  Engineering,MEng,FullTime,1,0,4,24000,187.42857142857142
10006840,Computer  Science  and  Software  Engineering  with  an  Ind  Yr,MEng,FullTime,1,2,5,24000,187.42857142857142
10006840,Computer  Science  with  an  Industrial  Year,BSc,FullTime,1,2,4,24000,183.5
10006840,Computer  Science  with  an  Industrial  Year,MSci,FullTime,1,2,5,24000,195.75
10006840,Computer  Science  with  Study  Abroad,MSci,FullTime,1,0,5,24000,187.42857142857142
10006840,Computer  Science  with  Study  Abroad,BSc,FullTime,1,0,4,24000,187.42857142857142
10006841,Computer  Networks  and  Security,BSc,FullTime,0,0,3,21000,105.23076923076923
10006841,Computer  Networks  and  Security  wih  Foundation,BSc,FullTime,2,0,4,21000,1
10000824,Computer  Animation  Art  and  Design,BA,FullTime,0,1,3,18000,151.8
10000824,Computer  Animation  Technical  Arts,BA,FullTime,0,1,3,18000,151.8
10000824,Computer  Networks,BSc,FullTime,0,2,4,25000,124.5
10000840,Computer  Networks  And  Systems  Support,BSc,FullTime,0,0,3,21000,0
10007785,Computer  Science,BSc,FullTime,0,0,3,21000,131.0
10007785,Computer  Science,BSc,FullTime,0,2,4,21000,130.5
10007785,Computer  Science  for  Cyber  Security,BSc,FullTime,0,0,3,21000,132.8
10007785,Computer  Science  for  Cyber  Security,BSc,FullTime,0,2,4,21000,132.8
10007785,Computer  Science  for  Games,BSc,FullTime,0,2,4,21000,112
10007785,Computer  Science  for  Games,BSc,FullTime,0,0,3,21000,132.8
10000886,Computer  Science,BSc,FullTime,0,1,3,25000,118.0
10000886,Computer  Science  for  Games,BSc,FullTime,0,1,3,25000,96
10000886,Computer  Science  with  Artificial  Intelligence,BSc,FullTime,0,1,3,25000,119.10526315789474
10000886,Electronic  and  Computer  Engineering,BEng,FullTime,0,1,3,25000,103.5
10000886,Electronic  and  Computer  Engineering,BEng,FullTime,2,1,4,25000,103.5
10000886,Electronic  and  Computer  Engineering,MEng,FullTime,0,1,4,25000,103.5
10007786,Computer  Science,BSc,FullTime,0,0,3,25000,187.25
10007786,Computer  Science,MEng,FullTime,0,0,4,25000,203.25
10007786,Computer  Science  with  Study  in  Continental  Europe,MEng,FullTime,0,0,4,25000,198.1764705882353
10000961,Business  Computing  (Human-Computer  Interaction),BSc,FullTime,1,2,4,26000,113.36363636363636
10000961,Business  Computing  (Human-Computer  Interaction),BSc,FullTime,1,0,3,26000,113.36363636363636
10000961,Computer  Science,BSc,FullTime,1,2,4,26000,96
10000961,Computer  Science,BSc,FullTime,1,0,3,26000,128
10000961,Computer  Science  (Artificial  Intelligence),BSc,FullTime,1,2,4,26000,113.36363636363636
10000961,Computer  Science  (Artificial  Intelligence),BSc,FullTime,1,0,3,26000,113.36363636363636
10000961,Computer  Science  (Digital  Media  and  Games),BSc,FullTime,1,0,3,26000,113.36363636363636
10000961,Computer  Science  (Digital  Media  and  Games),BSc,FullTime,1,2,4,26000,112
10000961,Computer  Science  (Network  Computing),BSc,FullTime,1,0,3,26000,113.36363636363636
10000961,Computer  Science  (Network  Computing),BSc,FullTime,1,2,4,26000,113.36363636363636
10000961,Computer  Science  (Software  Engineering),BSc,FullTime,1,0,3,26000,153.0
10000961,Computer  Science  (Software  Engineering),BSc,FullTime,1,2,4,26000,149.0
10000961,Computer  Systems  Engineering,BEng,FullTime,1,2,4,26000,138.0
10000961,Computer  Systems  Engineering,MEng,FullTime,0,2,5,26000,138.0
10000961,Computer  Systems  Engineering,MEng,FullTime,0,0,4,26000,138.0
10000961,Computer  Systems  Engineering,BEng,FullTime,1,0,3,26000,138.0
10000961,Electronic  and  Computer  Engineering,BEng,FullTime,1,0,3,26000,138.0
10000961,Electronic  and  Computer  Engineering,MEng,FullTime,0,0,4,26000,138.0
10000961,Electronic  and  Computer  Engineering,BEng,FullTime,1,2,4,26000,138.0
10000961,Electronic  and  Computer  Engineering,MEng,FullTime,0,2,5,26000,138.0
10000961,Mathematics  with  Computer  Science,BSc,FullTime,1,0,3,26000,121.6774193548387
10000961,Mathematics  with  Computer  Science,BSc,FullTime,1,2,4,26000,118.42857142857143
10007788,Computer  Science,BA,FullTime,0,0,3,25000,242.58620689655172
10001143,Computer  Forensics  and  Security,BSc,FullTime,0,0,3,25000,104.57142857142857
10001143,Computer  Science,BSc,FullTime,0,0,3,25000,108.0
10007854,Computer  Games  Design  and  Development,BSc,FullTime,1,1,3,21000,90.71428571428571
10007854,Computer  Science,BSc,FullTime,1,1,3,21000,103.5
10007814,Computer  Science,BSc,FullTime,0,0,3,22000,155.25
10007814,Computer  Science,BSc,FullTime,0,2,4,22000,151.5
10007814,Computer  Science  with  a  Year  of  Study  Abroad,BSc,FullTime,0,0,4,22000,161.40625
10007814,Computer  Science  with  High  Performance  Computing,BSc,FullTime,0,0,3,22000,161.40625
10007814,Computer  Science  with  High  Performance  Computing,BSc,FullTime,0,2,4,22000,161.40625
10007814,Computer  Science  with  High  Performance  Computing  with  a  Year  of  Study  Abroad,BSc,FullTime,0,0,4,22000,161.40625
10007814,Computer  Science  with  Security  and  Forensics,BSc,FullTime,0,0,3,22000,161.40625
10007814,Computer  Science  with  Security  and  Forensics,BSc,FullTime,0,2,4,22000,144
10007814,Computer  Science  with  Security  and  Forensics  with  a  Year  of  Study  Abroad,BSc,FullTime,0,0,4,22000,161.40625
