"Institution, Course, Type, Study Mode, Foundation Year(s), Sandwich Year(s), Total years, Salary (6 months after), Median Tariff"
10000291,Civil  Engineering,BSc,FullTime,0,0,3,26000,92.0
10000291,Civil  Engineering,BEng,FullTime,0,0,3,26000,80
10000291,Civil  Engineering,BSc,PartTime,0,0,,34000,0
10000291,Civil  Engineering,MEng,FullTime,0,0,4,26000,80
10000291,Civil  Engineering,BSc,FullTime,0,2,4,26000,80
10000291,Civil  Engineering,BEng,FullTime,0,2,4,26000,80
10000291,Civil  Engineering,BEng,PartTime,0,0,,34000,0
10000291,Electronic  Engineering,BEng,FullTime,0,2,4,26000,99.0
10000291,Electronic  Engineering,BEng,FullTime,0,0,3,26000,99.0
10000291,Mechanical  Engineering,BEng,FullTime,0,0,3,26000,71.5
10000291,Mechanical  Engineering,BEng,FullTime,0,2,4,26000,71.5
10000291,Mechanical  Engineering,MEng,FullTime,0,0,4,26000,71.5
10000291,Mechanical  Engineering,BEng,PartTime,0,0,,34000,0
10000291,Medical  Engineering,BEng,FullTime,0,2,4,26000,80
10000291,Medical  Engineering,BEng,FullTime,0,0,3,26000,80
10007759,Biomedical  Engineering,BEng,FullTime,0,0,3,26000,109.33333333333333
10007759,Biomedical  Engineering,MEng,FullTime,0,0,4,26000,109.33333333333333
10007759,Chemical  Engineering,BEng,FullTime,0,2,4,26000,130.14285714285714
10007759,Chemical  Engineering,MEng,FullTime,0,2,5,26000,130.14285714285714
10007759,Communications  Engineering,BEng,FullTime,0,2,4,26000,133.0
10007759,Design  Engineering,BEng,FullTime,0,2,4,27000,96
10007759,Electrical  and  Electronic  Engineering,BEng,FullTime,0,2,4,26000,138.0
10007759,Electrical  and  Electronic  Engineering,MEng,FullTime,0,0,4,26000,133.0
10007759,Electromechanical  Engineering,BEng,FullTime,0,2,4,27000,137.75
10007759,Mechanical  Engineering,MEng,FullTime,0,2,5,27000,136.33333333333334
10007759,Mechanical  Engineering,BEng,FullTime,0,2,4,27000,136.33333333333334
10007857,Computer  Systems  Engineering,BEng,FullTime,0,0,3,24000,115.75
10007857,Computer  Systems  Engineering,BSc,FullTime,0,0,3,24000,115.75
10007857,Computer  Systems  Engineering,MEng,FullTime,0,0,4,24000,115.75
10007857,Control  And  Instrumentation  Engineering,MEng,FullTime,0,0,4,24000,115.75
10007857,Critical  Safety  Engineering,MEng,FullTime,0,0,4,24000,115.75
10007857,Electronic  Engineering,BEng,FullTime,0,0,3,24000,114.5
10007857,Electronic  Engineering,BSc,FullTime,0,0,3,24000,80
10007857,Electronic  Engineering,MEng,FullTime,0,0,4,24000,140.0
10007850,Aerospace  Engineering,MEng,FullTime,0,0,4,26000,192
10007850,Aerospace  Engineering,MEng,FullTime,0,2,5,26000,210.5
10007850,Chemical  Engineering,MEng,FullTime,0,0,4,27000,210.5
10007850,Chemical  Engineering,MEng,FullTime,0,2,5,27000,203.42857142857142
10007850,Chemical  Engineering,BEng,FullTime,0,2,4,27000,192
10007850,Chemical  Engineering,BEng,FullTime,0,0,3,27000,199.5
10007850,Civil  and  Architectural  Engineering,MEng,FullTime,0,2,5,26000,187.25
10007850,Civil  and  Architectural  Engineering,MEng,FullTime,0,0,4,26000,160
10007850,Civil  Engineering,MEng,FullTime,0,2,5,26000,210.5
10007850,Civil  Engineering,MEng,FullTime,0,0,4,26000,215.5
10007850,Civil  Engineering,BEng,FullTime,0,2,4,26000,196.5
10007850,Civil  Engineering,BEng,FullTime,0,0,3,26000,196.5
10007850,Computer  Systems  Engineering,BEng,FullTime,0,0,3,26000,170.3125
10007850,Computer  Systems  Engineering,BEng,FullTime,0,2,4,26000,170.3125
10007850,Computer  Systems  Engineering,MEng,FullTime,0,0,4,26000,170.3125
10007850,Computer  Systems  Engineering,MEng,FullTime,0,2,5,26000,170.3125
10007850,Electrical  and  Electronic  Engineering,MEng,FullTime,0,2,5,26000,179.75
10007850,Electrical  and  Electronic  Engineering,BEng,FullTime,0,0,3,26000,160
10007850,Electrical  and  Electronic  Engineering,BEng,FullTime,0,2,4,26000,154.0
10007850,Electrical  and  Electronic  Engineering,MEng,FullTime,0,0,4,26000,144
10007850,Electrical  Power  Engineering,BEng,FullTime,0,0,3,26000,170.3125
10007850,Electrical  Power  Engineering,BEng,FullTime,0,2,4,26000,170.3125
10007850,Electrical  Power  Engineering,MEng,FullTime,0,0,4,26000,170.3125
10007850,Electrical  Power  Engineering,MEng,FullTime,0,2,5,26000,170.3125
10007850,Electronic  Engineering  with  Space  Science  and  Technology,BEng,FullTime,0,0,3,26000,170.3125
10007850,Electronic  Engineering  with  Space  Science  and  Technology,MEng,FullTime,0,0,4,26000,170.3125
10007850,Electronic  Engineering  with  Space  Science  and  Technology,BEng,FullTime,0,2,4,26000,170.3125
10007850,Electronic  Engineering  with  Space  Science  and  Technology,MEng,FullTime,0,2,5,26000,170.3125
10007850,Electronic  Systems  Engineering,MEng,FullTime,0,0,4,26000,170.3125
10007850,Electronic  Systems  Engineering,MEng,FullTime,0,2,5,26000,170.3125
10007850,Electronic  Systems  Engineering,BEng,FullTime,0,0,3,26000,170.3125
10007850,Electronic  Systems  Engineering,BEng,FullTime,0,2,4,26000,170.3125
10007850,Integrated  Mechanical  and  Electrical  Engineering,MEng,FullTime,0,2,5,25000,195.75
10007850,Mechanical  Engineering,MEng,FullTime,0,2,5,26000,211.6
10007850,Mechanical  Engineering,MEng,FullTime,0,0,4,26000,203.25
10007850,Mechanical  Engineering  with  Manufacturing  and  Management,MEng,FullTime,0,2,5,26000,206.16666666666666
