Institution,Course,Label,URL,Mode,Salary,avgTariff,lowerTariff,Employment
University Of Aberdeen,Accountancy and Finance,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/NN34/,FullTime,21000,186.0,80,90
University Of Aberdeen,Animal Behaviour,BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/C349/,FullTime,18000,176,112,90
University Of Aberdeen,Anthropology,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/L600/,FullTime,19000,135.5,96,90
University Of Aberdeen,Archaeology,BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/F420/,FullTime,18000,166.8181818181818,96,85
University Of Aberdeen,Archaeology,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/F421/,FullTime,18000,166.8181818181818,96,85
University Of Aberdeen,Bachelor of Divinity,BD,http://www.abdn.ac.uk/prospectus/ugrad/study/V600/,FullTime,18000,128,96,75
University Of Aberdeen,Bachelor of Music,BMus,http://www.abdn.ac.uk/prospectus/ugrad/study/W300/,FullTime,18000,170.0,64,90
University Of Aberdeen,Bachelor of Theology,BTh,http://www.abdn.ac.uk/prospectus/ugrad/study/V612/,FullTime,18000,128,96,75
University Of Aberdeen,Behavioural Biology,BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/C859/,FullTime,18000,176,112,90
University Of Aberdeen,Behavioural Studies,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/C801/,FullTime,18000,183.5,1,91
University Of Aberdeen,Behavioural Studies,BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/C803/,FullTime,18000,183.5,1,91
University Of Aberdeen,Biochemistry,BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/C700,FullTime,18000,112,1,90
University Of Aberdeen,Biochemistry with Industrial Placement,MSci,http://www.abdn.ac.uk/prospectus/ugrad/study/C701,FullTime,18000,128,1,90
University Of Aberdeen,Biological Sciences,MSci,https://www.abdn.ac.uk/study/undergraduate/degree-programmes/458/C900/,FullTime,18000,176,112,90
University Of Aberdeen,Biological Sciences,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/C901/,FullTime,18000,176,112,90
University Of Aberdeen,Biology,BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/C100/,FullTime,18000,176,112,80
University Of Aberdeen,Biomedical Science (Molecular Biology) with Industrial Placement,MSci,http://www.abdn.ac.uk/prospectus/ugrad/study/B9CR,FullTime,18000,128,1,90
University Of Aberdeen,Biomedical Science (Pharmacology) with Industrial Placement,MSci,http://www.abdn.ac.uk/prospectus/ugrad/study/B9BF,FullTime,19000,160,64,100
University Of Aberdeen,Biomedical Science (Physiology) with Industrial Placement,MSci,http://www.abdn.ac.uk/prospectus/ugrad/study/B9BA,FullTime,18000,195.0,48,95
University Of Aberdeen,Biomedical Sciences (Anatomy),BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/B9BC,FullTime,18000,197.625,1,95
University Of Aberdeen,Biomedical Sciences (Anatomy) with Industrial Placement,MSci,http://www.abdn.ac.uk/prospectus/ugrad/study/B9BD,FullTime,18000,195.0,48,95
University Of Aberdeen,Biomedical Sciences (Developmental Biology),BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/B9C1,FullTime,18000,176,112,90
University Of Aberdeen,Biomedical Sciences (Developmental Biology) with Industrial Placement,MSci,http://www.abdn.ac.uk/prospectus/ugrad/study/B9CC,FullTime,18000,176,112,90
University Of Aberdeen,Biomedical Sciences (Molecular Biology),BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/B9C7,FullTime,18000,128,1,90
University Of Aberdeen,Biomedical Sciences (Pharmacology),BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/B9B2,FullTime,19000,160,64,100
University Of Aberdeen,Biomedical Sciences (Physiology),BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/B9B1,FullTime,18000,195.0,48,100
University Of Aberdeen,Biotechnology (Applied Molecular Biology),BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/J700,FullTime,26000,170.5,96,85
University Of Aberdeen,Biotechnology (Applied Molecular Biology) with Industrial Placement,MSci,http://www.abdn.ac.uk/prospectus/ugrad/study/J701/,FullTime,26000,170.5,96,85
University Of Aberdeen,Business Management,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/N200,FullTime,21000,176,112,85
University Of Aberdeen,Business Management and Information Systems,BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/GN54/,FullTime,26000,144,1,100
University Of Aberdeen,Business Management and Real Estate,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/K483/,FullTime,21000,160,1,80
University Of Aberdeen,Celtic & Anglo-Saxon Studies,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/5Q28/,FullTime,19000,176,48,90
University Of Aberdeen,Celtic & Anglo-Saxon Studies and Film & Visual Culture,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/7PQ9/,FullTime,19000,176,48,90
University Of Aberdeen,Celtic & Anglo-Saxon Studies and Gaelic Studies,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/52Q8/,FullTime,19000,176,48,90
University Of Aberdeen,Chemical Engineering,MEng,http://www.abdn.ac.uk/prospectus/ugrad/study/H810/,FullTime,30000,185.23076923076923,128,85
University Of Aberdeen,Chemical Engineering,BEng,http://www.abdn.ac.uk/prospectus/ugrad/study/H813/,FullTime,29000,146.14285714285714,96,65
University Of Aberdeen,Chemistry,BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/F100/,FullTime,20000,144,112,60
University Of Aberdeen,Chemistry,MChem,https://www.abdn.ac.uk/study/undergraduate/degree-programmes/520/F105/,FullTime,20000,160,112,95
University Of Aberdeen,Civil and Environmental Engineering,BEng,http://www.abdn.ac.uk/prospectus/ugrad/study/H220/,FullTime,26000,176,112,100
University Of Aberdeen,Civil and Environmental Engineering,MEng,http://www.abdn.ac.uk/prospectus/ugrad/study/H255/,FullTime,26000,176,112,100
University Of Aberdeen,Civil and Structural Engineering,MEng,http://www.abdn.ac.uk/prospectus/ugrad/study/H225/,FullTime,26000,176,112,100
University Of Aberdeen,Civil and Structural Engineering,BEng,http://www.abdn.ac.uk/prospectus/ugrad/study/H221/,FullTime,26000,176,112,100
University Of Aberdeen,Civil Engineering,BEng,http://www.abdn.ac.uk/prospectus/ugrad/study/H200/,FullTime,26000,176,112,100
University Of Aberdeen,Civil Engineering,MEng,http://www.abdn.ac.uk/prospectus/ugrad/study/H205/,FullTime,26000,176,112,100
University Of Aberdeen,Civil Engineering with Subsea Technology,MEng,http://www.abdn.ac.uk/prospectus/ugrad/study/H229/,FullTime,26000,176,112,100
University Of Aberdeen,Computing,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/G402/,FullTime,26000,144,1,100
University Of Aberdeen,Computing Science,BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/G400/,FullTime,26000,154.0,1,100
University Of Aberdeen,Computing Science,MEng,https://www.abdn.ac.uk/study/undergraduate/degree-programmes/528/I101/,FullTime,26000,144,1,100
University Of Aberdeen,Computing Science with Industrial Placement,MSci,http://www.abdn.ac.uk/prospectus/ugrad/study/G401/,FullTime,26000,144,1,100
University Of Aberdeen,Computing With Industrial Placement,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/G405/,FullTime,26000,144,1,100
University Of Aberdeen,Conservation Biology,BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/C161,FullTime,18000,176,112,90
University Of Aberdeen,Ecology,BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/D430/,FullTime,18000,176,112,90
University Of Aberdeen,Economics,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/L100/,FullTime,20000,154.0,96,88
University Of Aberdeen,Education,BMus,http://www.abdn.ac.uk/prospectus/ugrad/study/XW13/,FullTime,22000,180.28571428571428,96,100
University Of Aberdeen,Electrical and Electronic Engineering,MEng,http://www.abdn.ac.uk/prospectus/ugrad/study/H605/,FullTime,26000,167.5,1,70
University Of Aberdeen,Electrical and Electronic Engineering,BEng,http://www.abdn.ac.uk/prospectus/ugrad/study/H620/,FullTime,26000,138.0,1,75
University Of Aberdeen,Electrical and Electronic Engineering withRenewable Energy,MEng,https://www.abdn.ac.uk/study/undergraduate/degree-programmes/902/H6H6/,FullTime,26000,167.5,1,75
University Of Aberdeen,Electronic and Software Engineering,MEng,https://www.abdn.ac.uk/study/undergraduate/degree-programmes/903/H6H3/,FullTime,26000,167.5,1,75
University Of Aberdeen,Engineering,MEng,http://www.abdn.ac.uk/prospectus/ugrad/study/H104/,FullTime,25000,201.0,80,93
University Of Aberdeen,Engineering,BEng,http://www.abdn.ac.uk/prospectus/ugrad/study/H100/,FullTime,25000,197.0,80,93
University Of Aberdeen,Engineering (Electronic and Software),MA,https://www.abdn.ac.uk/study/undergraduate/degree-programmes/904/H6H4/engineering-electronic-and-software/,FullTime,26000,167.5,1,75
University Of Aberdeen,English,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/Q300/,FullTime,18000,139.25,80,90
University Of Aberdeen,English and Scottish Literature,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/Q314/,FullTime,18000,128,1,90
University Of Aberdeen,English Law and European Legal Studies,LLB,http://www.abdn.ac.uk/prospectus/ugrad/study/M117/,FullTime,19000,198.42857142857142,144,94
University Of Aberdeen,Environmental Chemistry,BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/F142/,FullTime,20000,160,112,70
University Of Aberdeen,Environmental Chemistry,MChem,https://www.abdn.ac.uk/study/undergraduate/degree-programmes/598/F143/,FullTime,20000,160,112,70
University Of Aberdeen,Environmental Science,BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/F900/,FullTime,22000,160,96,85
University Of Aberdeen,Exercise and Health Science,BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/C603/,FullTime,18000,183.5,64,91
University Of Aberdeen,Exercise and Health Science with Industrial Placement,BTh,http://www.abdn.ac.uk/prospectus/ugrad/study/C601/,FullTime,18000,183.5,64,91
University Of Aberdeen,Film and Visual Culture,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/W690/,FullTime,18000,169.0,1,90
University Of Aberdeen,Finance and Real Estate,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/NK32/,FullTime,22000,181.0,80,100
University Of Aberdeen,French and Spanish & Latin American Studies,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/RR14/,FullTime,19000,195.0,160,90
University Of Aberdeen,French Studies,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/R120/,FullTime,19000,195.75,1,90
University Of Aberdeen,French Studies,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/R101/,FullTime,19000,195.75,1,90
University Of Aberdeen,Gaelic Studies,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/Q530/,FullTime,19000,176,48,90
University Of Aberdeen,Genetics,BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/C400,FullTime,18000,140.0,1,100
University Of Aberdeen,Genetics (Immunology),BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/C450/,FullTime,18000,140.0,1,100
University Of Aberdeen,Genetics (Immunology) with Industrial Placement,MSci,http://www.abdn.ac.uk/prospectus/ugrad/study/C451,FullTime,18000,140.0,1,100
University Of Aberdeen,Genetics with Industrial Placement,MSci,http://www.abdn.ac.uk/prospectus/ugrad/study/C401,FullTime,18000,140.0,1,100
University Of Aberdeen,Geography,BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/F800,FullTime,22000,156.0,112,80
University Of Aberdeen,Geography,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/L700,FullTime,22000,202.71428571428572,144,90
University Of Aberdeen,Geology,MGeoSci,https://www.abdn.ac.uk/study/undergraduate/degree-programmes/679/F600/,FullTime,18000,195.0,112,88
University Of Aberdeen,Geology and Petroleum Geology,BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/F602/,FullTime,20000,165.0,96,88
University Of Aberdeen,German Studies,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/R220/,FullTime,19000,144,1,90
University Of Aberdeen,History,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/V100/,FullTime,17000,178.30769230769232,96,95
University Of Aberdeen,History and History of Art,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/VV13/,FullTime,18000,172.0,96,90
University Of Aberdeen,History of Art,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/V350/,FullTime,18000,172.0,96,80
University Of Aberdeen,Immunology,BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/C552,FullTime,18000,181.0,1,95
University Of Aberdeen,Immunology with Industrial Placement,MSci,http://www.abdn.ac.uk/prospectus/ugrad/study/C550/,FullTime,19000,181.0,1,95
University Of Aberdeen,Language and Linguistics,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/Q190/,FullTime,19000,128,112,85
University Of Aberdeen,Law,LLB,http://www.abdn.ac.uk/prospectus/ugrad/study/M114/,FullTime,19000,203.25,128,94
University Of Aberdeen,Law Accelerated,LLB,http://www.abdn.ac.uk/prospectus/ugrad/study/M115/,FullTime,19000,198.42857142857142,144,94
University Of Aberdeen,Law with English Law,LLB,http://www.abdn.ac.uk/prospectus/ugrad/study/M2M1/,FullTime,19000,202.0,112,94
University Of Aberdeen,Law with European Legal Studies,LLB,http://www.abdn.ac.uk/prospectus/ugrad/study/M127/,FullTime,19000,172.0,1,94
University Of Aberdeen,Law with French Law,LLB,http://www.abdn.ac.uk/prospectus/ugrad/study/M121/,FullTime,19000,198.42857142857142,144,100
University Of Aberdeen,Law with German Law,LLB,http://www.abdn.ac.uk/prospectus/ugrad/study/M123/,FullTime,19000,198.42857142857142,144,94
University Of Aberdeen,Law with options in Accountancy,LLB,http://www.abdn.ac.uk/prospectus/ugrad/study/M1N4/,FullTime,19000,198.42857142857142,144,94
University Of Aberdeen,Law with options in Business Management,LLB,http://www.abdn.ac.uk/prospectus/ugrad/study/M1N2/,FullTime,19000,192,144,94
University Of Aberdeen,Law with options in Economics,LLB,http://www.abdn.ac.uk/prospectus/ugrad/study/M1L1/,FullTime,19000,198.42857142857142,144,94
University Of Aberdeen,Law with options in French Language,LLB,http://www.abdn.ac.uk/prospectus/ugrad/study/M125/,FullTime,19000,198.42857142857142,144,94
University Of Aberdeen,Law with options in Gaelic Language,LLB,http://www.abdn.ac.uk/prospectus/ugrad/study/M128/,FullTime,19000,198.42857142857142,144,94
