"Institution, Course, Type, Study Mode, Foundation Year(s), Sandwich Year(s), Total years, Salary (6 months after), Median Tariff"
10000291,Business  Economics,BSc,FullTime,0,0,3,25000,71.5
10000291,Business  Economics,BSc,FullTime,0,2,4,26000,101.0
10000291,Business  Economics,BSc,PartTime,0,0,,30000,0
10007759,Economics  And  Management,BSc,FullTime,0,2,4,25000,136.03571428571428
10007759,International  Business  And  Economics,BSc,FullTime,0,2,4,25000,128
10007759,Mathematics  with  Economics,BSc,FullTime,0,2,4,27000,112
10007857,Business  Economics,BSc,FullTime,0,0,3,19000,106.71428571428571
10007857,Financial  Economics,BSc,FullTime,0,0,3,19000,106.71428571428571
10007850,Economics,BSc,FullTime,0,2,4,28000,189.125
10007850,Economics,BSc,FullTime,0,0,3,28000,186.0
10007850,Economics  with  professional  placement  and  study  year  abroad,BSc,FullTime,0,0,4,28000,186.83333333333334
10007850,Economics  with  study  year  abroad,BSc,FullTime,0,0,4,28000,186.83333333333334
10007850,Politics  with  Economics,BSc,FullTime,0,2,4,28000,164.28571428571428
10007152,Business  Economics,BA,FullTime,2,0,5,21000,69.0
10007152,Business  Economics,BA,FullTime,0,0,3,21000,69.0
10007760,Economics,BSc,PartTime,0,0,,32000,0
10007760,Economics,BSc,FullTime,0,0,3,25000,103.5
10007760,Economics  and/with  Mathematics,BSc,PartTime,0,0,,32000,0
10007760,Financial  Economics,BSc,PartTime,0,0,,32000,0
10007760,Financial  Economics,BSc,FullTime,0,0,3,25000,108.5
10007760,Mathematics  with  Economics,BSc,PartTime,0,0,,32000,0
10007760,Statistics  and  Economics,BSc,PartTime,0,0,,32000,0
10007140,Business  Economics,BA,PartTime,0,1,,28000,0
10007140,Economics,BA,FullTime,0,1,3,25000,99.0
10007140,Financial  Economics,BA,FullTime,0,1,3,27000,92.85714285714286
10007140,Financial  Economics,BA,PartTime,0,1,,28000,0
10006840,Economics,BSc,FullTime,0,0,3,25000,163.0
10006840,Mathematical  Economics  and  Statistics,BSc,FullTime,0,0,3,25000,170.0
10000824,Economics,BA,FullTime,0,1,3,22000,96
10000824,Finance  and  Economics,BA,FullTime,0,1,3,22000,96
10007785,Economics,BSc,FullTime,1,2,4,24000,93.125
10007785,Economics,BSc,FullTime,1,0,3,24000,92.0
10007785,Finance  and  Economics,BSc,FullTime,1,0,3,24000,93.125
10007785,Finance  and  Economics,BSc,FullTime,1,2,4,24000,93.125
10000886,Business  Management  with  Economics,BSc,FullTime,0,0,3,22000,105.0
10000886,Business  Management  with  Economics  and  Placement  Year,BSc,FullTime,0,2,4,22000,121.0
10000886,Economics,BSc,FullTime,0,1,3,22000,112.625
10007786,Economics,BSc,FullTime,0,0,3,28000,186.26315789473685
10007786,Economics  and  Econometrics,BSc,FullTime,0,0,3,28000,160
10007786,Economics  and  Finance,BSc,FullTime,0,0,3,27000,183.5
10007786,Economics  with  Study  in  Continental  Europe,BSc,FullTime,0,0,4,28000,176
10000961,Economics,BSc,FullTime,1,0,3,27000,114.14285714285714
10000961,Economics,BSc,FullTime,1,2,4,27000,124.0
10000961,Economics  and  Accounting,BSc,FullTime,1,0,3,25000,104.33333333333333
10000961,Economics  and  Business  Finance,BSc,FullTime,1,2,4,27000,134.0
10000961,Economics  and  Business  Finance,BSc,FullTime,1,0,3,27000,109.33333333333333
10000961,Politics  and  Economics,BSc,FullTime,0,2,4,22000,115.18181818181819
10000961,Politics  and  Economics,BSc,FullTime,0,0,3,22000,115.18181818181819
10007788,Economics,BA,FullTime,0,0,3,28000,243.97058823529412
10007854,Business  Economics,BA,FullTime,1,0,3,19000,92.0
10007854,Economics,BSc,FullTime,1,0,3,19000,89.375
10007854,International  Economics  &  Finance,BSc,FullTime,1,0,3,19000,92.27272727272727
10007814,Business  Economics,BScEcon,FullTime,0,0,3,23000,149.0
10007814,Business  Economics  with  a  European  Language  (French),BSc,FullTime,0,0,4,20000,152.65384615384616
10007814,Business  Economics  with  a  European  Language  (German),BSc,FullTime,0,0,4,20000,152.65384615384616
10007814,Business  Economics  with  a  European  Language  (Spanish),BSc,FullTime,0,0,4,20000,152.65384615384616
10007814,Economics,BScEcon,FullTime,0,0,3,23000,149.625
10007814,Economics  and  Finance,BScEcon,FullTime,0,0,3,24000,153.0
10007814,Economics  with  a  European  Language  (French),BSc,FullTime,0,0,4,23000,150.92307692307693
10007814,Economics  with  a  European  Language  (German),BSc,FullTime,0,0,4,23000,150.92307692307693
10007814,Economics  with  a  European  Language  (Spanish),BSc,FullTime,0,0,4,23000,150.92307692307693
10007814,Economics  with  a  Professional  Placement  Year,BScEcon,FullTime,0,2,4,23000,150.92307692307693
10007141,Economics,BA,FullTime,1,1,3,22000,108.5
10007141,Economics,BSc,FullTime,1,1,3,22000,105.0
10007141,Economics,BA,FullTime,2,1,4,22000,108.5
10007848,Economics  and  Business,BSc,FullTime,0,1,3,19000,103.5
10007848,Economics  and  Business  (with  Foundation  Year),BSc,FullTime,2,1,4,19000,103.5
10001478,Economics,BSc,FullTime,0,1,3,28000,133.5
10001478,Financial  Economics,BSc,FullTime,0,1,3,28000,128
10001726,Business  Economics,BA,FullTime,0,1,3,25000,117.0
10001726,Economics,BA,FullTime,0,1,3,25000,113.30434782608695
10001726,Financial  Economics,BA,FullTime,0,1,3,25000,107.66666666666667
10001726,International  Economics  and  Trade,BA,FullTime,0,1,3,25000,117.0
10001883,Economics,BA,FullTime,0,1,3,24000,98.14285714285714
10001883,Economics,BSc,FullTime,0,1,3,24000,94.61538461538461
10001883,Economics  and  Finance,BSc,FullTime,0,1,3,23000,91.25
10001883,Economics  and  Politics,BA,FullTime,0,1,3,24000,80
10007851,Business  Enterprise  and  Economics,BA,PartTime,1,1,,30000,0
10007851,Economics  and  Accounting,BA,PartTime,1,1,,30000,0
10007851,Economics  and  Business  Management,BA,PartTime,1,1,,32000,0
10007851,Economics  and  Education  Studies,BA,PartTime,1,1,,21000,0
10007851,Economics  and  Finance,BSc,FullTime,1,1,3,20000,101.0
10007851,Economics  and  Finance  with  Foundation  Year,BSc,FullTime,2,1,4,20000,101.0
10007851,Economics  and  Marketing,BA,PartTime,1,1,,30000,0
10007851,Economics  and  Psychology,BA/BSc,PartTime,1,1,,23000,0
10007851,Economics  for  Business,BA,FullTime,1,1,3,21000,103.89473684210526
10007851,Economics  for  Business,BA,PartTime,1,1,,32000,0
10007851,Economics  for  Business  with  Foundation  Year,BA,FullTime,2,1,4,21000,103.89473684210526
10007852,Economics,MA,FullTime,0,0,4,23000,114.14285714285714
10007852,Economics,BSc,FullTime,0,0,4,23000,112
10007852,Financial  Economics,BSc,FullTime,0,0,4,23000,112
10007852,Financial  Economics,MA,FullTime,0,0,4,23000,112
10007143,Economics,BA,FullTime,1,1,3,27000,192
10007143,Economics,BA,FullTime,2,1,4,27000,192
10007143,Philosophy  Politics  and  Economics,BA,FullTime,0,1,3,25000,213.0
10007789,Business  Economics,BA,FullTime,0,0,3,26000,147.33333333333334
10007789,Business  Economics  with  a  Year  Abroad,BSc,FullTime,0,0,4,26000,147.33333333333334
10007789,Economics,BSc,FullTime,0,0,3,26000,147.33333333333334
10007789,Economics  with  a  Year  Abroad,BSc,FullTime,0,0,4,26000,147.33333333333334
10007144,Economics,BSc,FullTime,0,0,3,24000,87.5
10007144,Economics  Politics  and  Policy,BA,FullTime,0,0,3,24000,64
10007791,Economics,BSc,FullTime,0,0,3,25000,113.60714285714286
10007791,Economics,BA,FullTime,0,0,3,25000,96
10007791,Economics,BA,FullTime,0,2,4,25000,116.28571428571428
10007791,Economics,BA,FullTime,2,0,4,25000,114.77777777777777
10007791,Economics,BA,FullTime,0,0,4,25000,109.33333333333333
10007791,Economics,BSc,FullTime,0,2,4,25000,96
10007791,Economics,BSc,FullTime,2,0,4,25000,114.77777777777777
10007791,Economics,BSc,FullTime,0,0,4,25000,106.0
10007791,Financial  Economics,BA,FullTime,0,2,4,25000,114.77777777777777
10007791,Financial  Economics,BA,FullTime,0,0,3,25000,114.77777777777777
10007791,Financial  Economics,BA,FullTime,2,0,4,25000,114.77777777777777
10007791,Financial  Economics,BA,FullTime,0,0,4,25000,114.77777777777777
10007791,Financial  Economics,BSc,FullTime,0,2,4,25000,112
10007791,Financial  Economics,BSc,FullTime,0,0,3,25000,109.33333333333333
10007791,Financial  Economics,BSc,FullTime,2,0,4,25000,114.77777777777777
10007791,Financial  Economics,BSc,FullTime,0,0,4,25000,114.77777777777777
10007791,International  Economics,BA,FullTime,0,2,4,25000,114.77777777777777
10007791,International  Economics,BA,FullTime,0,0,3,25000,114.77777777777777
10007791,International  Economics,BA,FullTime,2,0,4,25000,114.77777777777777
10007791,International  Economics,BA,FullTime,0,0,4,25000,114.77777777777777
10007791,International  Economics,BSc,FullTime,0,2,4,25000,114.77777777777777
10007791,International  Economics,BSc,FullTime,0,0,3,25000,114.77777777777777
10007791,International  Economics,BSc,FullTime,2,0,4,25000,114.77777777777777
10007791,International  Economics,BSc,FullTime,0,0,4,25000,114.77777777777777
10007791,Management  Economics,BA,FullTime,0,2,4,25000,114.77777777777777
10007791,Management  Economics,BA,FullTime,0,0,3,25000,114.77777777777777
10007791,Management  Economics,BA,FullTime,2,0,4,25000,114.77777777777777
10007791,Management  Economics,BA,FullTime,0,0,4,25000,114.77777777777777
10007791,Management  Economics,BSc,FullTime,0,2,4,25000,114.77777777777777
