"Institution, Course, Type, Study Mode, Foundation Year(s), Sandwich Year(s), Total years, Salary (6 months after), Median Tariff"
10000291,English  Language,BA,FullTime,0,0,3,18000,91.08695652173913
10000291,English  Literature,BA,FullTime,0,0,3,18000,91.08695652173913
10000291,English  Literature,BA,FullTime,0,0,3,18000,87.5
10007759,English  Language,BSc,FullTime,0,2,4,18000,124.0
10007857,English  Language,BA,FullTime,0,0,3,17000,128
10007857,English  Literature,MArts,FullTime,0,0,4,17000,121.70588235294117
10007857,English  Literature,BA,FullTime,0,0,3,17000,96
10000571,English  Literature,BA,FullTime,0,0,3,17000,121.375
10007152,English  Literature,BA,FullTime,0,2,4,18000,83.0
10007152,English  Literature,BA,FullTime,2,0,4,18000,83.0
10007152,English  Literature,BA,FullTime,0,0,3,18000,83.0
10007140,English  Literature,BA,FullTime,0,0,3,17000,96
10006840,English  Language,BA,FullTime,0,0,3,18000,162.5
10000886,English  Language,BA,FullTime,0,0,3,19000,106.71428571428571
10000886,English  Literature,BA,FullTime,0,0,3,19000,104.38235294117646
10007787,English  Literature,BA,FullTime,0,0,2,18000,98.5
10001143,English  Literature,BA,FullTime,2,0,4,18000,92.0
10001143,English  Literature,BA,FullTime,0,0,3,18000,80
10007814,English  Language,BA,FullTime,0,0,3,17000,138.55555555555554
10007814,English  Literature,BA,FullTime,0,0,3,17000,151.5
10007141,English  Literature,BA,FullTime,1,0,3,17000,93.23529411764706
10007141,English  Literature,BA,FullTime,2,0,4,17000,93.23529411764706
10007848,English  Language,BA,FullTime,0,0,3,17000,114.14285714285714
10007848,English  Literature,BA,FullTime,0,0,3,17000,122.0
10007137,English  Literature,BA,FullTime,0,0,3,18000,119.5
10007842,English  Literature,BA,FullTime,0,0,3,17000,114.5
10007143,English  Literature,BA,FullTime,1,0,3,19000,213.8695652173913
10007789,English  Literature,BA,FullTime,2,0,4,19000,118.42857142857143
10007789,English  Literature,BA,FullTime,0,0,3,19000,161.73076923076923
10007144,English  Literature,BA,FullTime,0,0,3,19000,99.0
10007823,English  Language,BA,FullTime,0,1,3,17000,96
10007823,English  Literature,BA,FullTime,0,1,3,17000,131.0
10007791,English  Literature,BA,FullTime,0,0,3,18000,124.5
10007791,English  Literature,BA,FullTime,2,0,4,18000,121.82758620689656
10007791,English  Literature,BA,FullTime,0,0,4,18000,108.85714285714286
10007146,English  Literature,BA,FullTime,0,1,3,20000,124.0
10007147,English  Literature,BA,FullTime,0,1,3,18000,106.71428571428571
10007148,English  Language,BA,FullTime,0,1,3,17000,96
10007148,English  Literature,BA,FullTime,0,1,3,17000,119.5
10003678,English  Literature,BA,FullTime,0,0,3,20000,80
10003678,English  Literature,BA,FullTime,2,0,4,20000,80
10007768,English  Language,BA,FullTime,0,0,3,17000,150.0
10007768,English  Literature,BA,FullTime,0,0,3,17000,144
10003861,English  Literature,BA,FullTime,0,0,3,17000,113.0344827586207
10003863,English  Literature,BA,FullTime,0,0,3,17000,93.125
10007795,English  Literature,BA,FullTime,0,1,3,18000,170.96153846153845
10003957,English  Literature,BA,FullTime,0,0,3,17000,122.86206896551724
10006842,English  Language,BA,FullTime,0,0,3,17000,145.875
10006842,English  Literature,BA,FullTime,0,0,3,17000,145.875
10004048,English  Literature,BA,FullTime,1,0,3,21000,77.125
10007798,English  Language,BA,FullTime,0,0,3,17000,136.57142857142858
10007799,English  Language,BA,FullTime,0,0,3,17000,147.75
10007799,English  Literature,BA,FullTime,0,0,3,17000,169.16666666666666
10007832,English  Literature,BA,FullTime,0,0,3,17000,99.75
10001282,English  Literature,BA,FullTime,1,1,3,16000,134.1764705882353
10004930,English  Literature,BA,FullTime,1,0,3,18000,130.14285714285714
10007155,English  Literature,BA,FullTime,0,1,3,18000,96
10007775,English  Language,BA,FullTime,0,0,3,20000,147.91304347826087
10007802,English  Literature,BA,FullTime,0,0,3,18000,140.0
10007776,English  Literature,BA,FullTime,0,0,3,20000,92.0
10007156,English  Literature,BA,FullTime,0,0,3,17000,106.0
10005790,English  Language,BA,FullTime,0,0,3,17000,118.36363636363636
10005790,English  Literature,BA,FullTime,0,0,3,17000,117.625
10007157,English  Literature,BA,FullTime,0,0,3,17000,152.47826086956522
10007157,English  Literature,BA,FullTime,2,1,4,17000,152.65384615384616
10007843,English  Literature,BA,FullTime,0,0,3,20000,80
10007160,English  Literature,BA,FullTime,0,0,3,19000,149.0
10007160,English  Literature,BA,FullTime,0,2,4,19000,149.0
10007855,English  Language,BA,FullTime,0,0,3,17000,96
10007855,English  Language,BA,FullTime,0,0,4,17000,119.8
10007855,English  Literature,BA,FullTime,0,0,4,17000,106.0
10007855,English  Literature,BA,FullTime,0,0,3,17000,112
10007164,English  Literature,BA,FullTime,0,1,3,17000,112
10007164,English  Literature,BA,FullTime,2,1,4,17000,119.82608695652173
10007163,English  Literature,BA,FullTime,0,0,3,18000,180.28571428571428
10007165,English  Literature,BA,FullTime,0,0,3,20000,96
10003614,English  Literature,BA,FullTime,0,0,3,18000,123.25
10007139,English  Literature,BA,FullTime,0,0,3,17000,96
10007713,English  Literature,BA,FullTime,0,0,3,17000,106.0
