"Institution, Course, Type, Study Mode, Foundation Year(s), Sandwich Year(s), Total years, Salary (6 months after), Median Tariff"
10000291,History,BA,FullTime,0,0,3,18000,90.0
10007857,History,BA,FullTime,0,0,3,17000,119.5
10007857,History,MArts,FullTime,0,0,4,17000,120.4
10000571,History,BA,FullTime,0,0,3,18000,103.5
10007760,History,BA,PartTime,0,0,,34000,0
10007760,History,BA,FullTime,0,0,3,20000,96
10006840,History,BA,FullTime,0,0,3,18000,165.2173913043478
10007786,History,BA,FullTime,1,0,3,20000,186.625
10000961,History,BA,FullTime,0,2,4,21000,96
10000961,History,BA,FullTime,0,0,3,21000,116.28571428571428
10007788,History,BA,FullTime,0,0,3,21000,215.94117647058823
10001143,History,BA,FullTime,0,0,3,20000,93.5
10001143,History,BA,FullTime,2,0,4,20000,91.12903225806451
10007814,History,BA,FullTime,0,0,3,17000,155.08695652173913
10007814,History,BA,FullTime,0,0,4,17000,149.625
10007141,History,BA,FullTime,2,0,4,18000,116.28571428571428
10007141,History,BA,FullTime,1,0,3,18000,116.28571428571428
10007848,History,BA,FullTime,0,0,3,18000,107.25
10007137,History,BA,FullTime,0,0,3,18000,101.625
10001726,History,BA,FullTime,0,1,3,19000,96
10001883,History,BA,FullTime,0,1,3,18000,98.5
10007851,History,BA,FullTime,1,0,3,18000,90.0
10007851,History,MHist,FullTime,0,0,4,18000,92.5
10007143,History,BA,FullTime,2,0,4,20000,216.0
10007143,History,BA,FullTime,1,0,3,20000,215.0
10007789,History,BA,FullTime,2,0,4,19000,119.5
10007789,History,BA,FullTime,0,0,3,19000,163.57142857142858
10007823,History,BA,FullTime,0,1,3,17000,121.0
10007791,History,BA,FullTime,0,0,3,20000,121.0
10007791,History,BA,FullTime,0,0,4,20000,112
10007791,History,BA,FullTime,2,0,4,20000,118.6
10007792,History,BA,FullTime,0,1,3,20000,186.9090909090909
10007792,History,BA,FullTime,0,0,3,20000,152.57142857142858
10007145,History,BA,FullTime,0,0,3,18000,118.0
10002718,History,BA,FullTime,0,0,3,22000,121.0
10007146,History,BA,FullTime,0,1,3,21000,119.5
10007147,History,BA,FullTime,0,1,3,16000,115.33333333333333
10007148,History,BA,FullTime,0,1,3,17000,120.57142857142857
10007149,History,BA,FullTime,0,0,3,18000,116.03846153846153
10007149,History,MHist,FullTime,0,0,4,18000,116.03846153846153
10007767,History,BA,FullTime,0,0,3,18000,124.5
10007150,History,BA,FullTime,0,1,3,19000,135.2
10003645,History,BA,FullTime,0,0,3,21000,166.8181818181818
10003678,History,BA,FullTime,0,0,3,20000,89.0
10007768,History,BA,FullTime,0,0,3,18000,158.55882352941177
10003861,History,BA,FullTime,0,0,3,18000,103.74193548387098
10003863,History,BA,FullTime,0,0,3,18000,87.5
10007795,History,BA,FullTime,0,1,3,19000,171.4
