"Institution, Course, Type, Study Mode, Foundation Year(s), Sandwich Year(s), Total years, Salary (6 months after), Median Tariff"
10000291,Mechanical  Engineering,BEng,FullTime,0,0,3,26000,71.5
10000291,Mechanical  Engineering,BEng,FullTime,0,2,4,26000,71.5
10000291,Mechanical  Engineering,MEng,FullTime,0,0,4,26000,71.5
10000291,Mechanical  Engineering,BEng,PartTime,0,0,,34000,0
10007759,Electromechanical  Engineering,BEng,FullTime,0,2,4,27000,137.75
10007759,Mechanical  Engineering,MEng,FullTime,0,2,5,27000,136.33333333333334
10007759,Mechanical  Engineering,BEng,FullTime,0,2,4,27000,136.33333333333334
10007850,Mechanical  Engineering,MEng,FullTime,0,2,5,26000,211.6
10007850,Mechanical  Engineering,MEng,FullTime,0,0,4,26000,203.25
10007850,Mechanical  Engineering  with  Manufacturing  and  Management,MEng,FullTime,0,2,5,26000,206.16666666666666
10007850,Mechanical  Engineering  with  Manufacturing  and  Management,MEng,FullTime,0,0,4,26000,206.16666666666666
10007140,Mechanical  Engineering,BEng,FullTime,0,1,3,26000,93.33333333333333
10007140,Mechanical  Engineering,MEng,PartTime,0,1,,35000,0
10007140,Mechanical  Engineering,BEng,PartTime,0,1,,35000,0
10007140,Mechanical  Engineering,MEng,FullTime,0,1,4,26000,96
10007140,Mechanical  Engineering,MEng,FullTime,2,0,5,26000,104.33333333333333
10007140,Mechanical  Engineering,BEng,FullTime,2,0,4,26000,104.33333333333333
10006840,Mechanical  Engineering,MEng,FullTime,1,0,4,26000,171.25
10006840,Mechanical  Engineering,BEng,FullTime,1,0,3,26000,154.71428571428572
10006840,Mechanical  Engineering  (Automotive),BEng,FullTime,1,0,3,26000,144
10006840,Mechanical  Engineering  (Automotive),MEng,FullTime,1,0,4,26000,160
10006840,Mechanical  Engineering  with  Industrial  Year,MEng,FullTime,1,2,5,26000,144
10006841,Mechanical  Engineering,BEng,FullTime,0,0,3,25000,85.0
10000824,Mechanical  Engineering,MEng,FullTime,0,2,5,27000,96
10007785,Mechanical  Engineering,BEng,FullTime,1,0,3,25000,117.0
10007785,Mechanical  Engineering,MEng,FullTime,1,0,4,25000,117.0
10007785,Mechanical  Engineering,BEng,FullTime,1,2,4,25000,117.0
10007785,Mechanical  Engineering,MEng,FullTime,1,2,5,25000,117.0
10000886,Mechanical  Engineering,BEng,FullTime,0,1,3,26000,108.85714285714286
