"Institution, Course, Type, Study Mode, Foundation Year(s), Sandwich Year(s), Total years, Salary (6 months after), Median Tariff"
10000291,Digital  Media,BA,FullTime,0,0,3,18000,80
10000291,Film  Studies  and  Media  Studies,BA,FullTime,0,0,3,18000,100.28571428571428
10000291,Media  Studies,BA,FullTime,0,0,3,18000,80
10000291,Media  Studies,BA,FullTime,0,0,3,18000,75.25
10000291,Multimedia  Journalism,BA,FullTime,0,0,3,18000,99.75
10000385,Make-up  for  Media  and  Performance,BA,FullTime,0,0,3,17000,139.66666666666666
10007162,Fashion  Media  Practice  and  Criticism,MA,FullTime,0,0,4,20000,133.0
10007162,Fine  Art:  Print  and  Time  Based  Media,BA,FullTime,0,0,3,18000,119.5
10007162,Graphic  and  Media  Design,BA,FullTime,0,1,3,19000,118.0
10007162,Illustration  and  Visual  Media,BA,FullTime,0,1,3,19000,128
10007759,Multimedia  Computing,BSc,FullTime,0,2,4,23000,133.0
10000571,Film  and  Screen  Studies  &  Media  Communications,BA,FullTime,0,0,3,18000,116.16666666666667
10000571,Film  and  Screen  Studies  &  Media  Communications  with  Professional  Placement  Year,BA,FullTime,0,2,4,18000,116.16666666666667
10000571,Media  Communications,BA,FullTime,0,0,3,18000,108.5
10000571,Media  Communications  with  Professional  Placement  Year,BA,FullTime,0,2,4,18000,116.16666666666667
10007152,Media  Communications,BA,FullTime,0,0,3,18000,83.75
10007152,Media  Communications,BA,FullTime,0,2,4,18000,83.75
10007152,Media  Communications,BA,FullTime,2,0,4,18000,83.75
10007152,Media  Communications  with  Languages,BA,FullTime,0,0,3,18000,83.75
10007152,Media  Performance  for  Film  TV  and  Theatre,BA,FullTime,0,0,3,17000,80
10007152,Media  Performance  for  Film  TV  and  Theatre,BA,FullTime,0,2,4,17000,80
10007152,Media  Production,BA,FullTime,0,2,4,18000,83.75
10007152,Media  Production,BA,FullTime,0,0,3,18000,83.75
10007152,Media  Production,BA,FullTime,2,0,4,18000,83.75
10007152,Media  Production  (Radio),BA,FullTime,0,0,3,18000,83.75
10007152,Media  Production  (Radio),BA,FullTime,0,2,4,18000,83.75
10007152,Media  Production  (Radio),BA,FullTime,2,0,4,18000,83.75
10007760,Language  and  Film  and  Media  with  International  Experience,BA,FullTime,0,0,3,21000,96
10007140,Digital  Media  Computing,BSc,FullTime,0,1,3,22000,133.0
10007140,Media  and  Communication,BA,FullTime,0,0,3,17000,118.20689655172414
10007140,Media  and  Communication  (Event  and  Exhibition  Industries),BA,FullTime,0,0,3,17000,118.11111111111111
10007140,Media  and  Communication  (Journalism),BA,FullTime,0,0,3,17000,107.66666666666667
10007140,Media  and  Communication  (Music  Industries),BA,FullTime,0,0,3,17000,124.85714285714286
10007140,Media  and  Communication  (New  Media),BA,FullTime,0,0,3,17000,116.0909090909091
10007140,Media  and  Communication  (Public  Relations),BA,FullTime,0,0,3,17000,118.11111111111111
10007140,Media  and  Communication  (Radio),BA,FullTime,0,0,3,17000,135.5
10007140,Media  and  Communication  (Television),BA,FullTime,0,0,3,17000,121.0
10000824,Communication  and  Media,BA,FullTime,0,1,3,18000,121.13043478260869
10000824,Media  Production,BA,FullTime,0,1,3,18000,132.6153846153846
10000824,Multimedia  Journalism,BA,FullTime,0,1,3,18000,133.76923076923077
10000840,Media  Make  Up  With  Special  Effects,BA,FullTime,0,0,3,16000,0
10000886,Design  for  Digital  Media,BA,FullTime,0,0,3,19000,128.78947368421052
10000886,Media  Production,BA,FullTime,0,0,3,18000,96
10000886,Media  Studies,BA,FullTime,0,0,3,18000,109.59375
10000886,Media  Industry  and  Innovation,BA,FullTime,0,0,3,18000,108.41379310344827
10000886,Multimedia  Broadcast  Journalism,BA,FullTime,0,0,3,19000,96
10000961,Business  Computing  (Social  Media),BSc,FullTime,1,2,4,26000,113.36363636363636
10000961,Business  Computing  (Social  Media),BSc,FullTime,1,0,3,26000,113.36363636363636
10000961,Computer  Science  (Digital  Media  and  Games),BSc,FullTime,1,0,3,26000,113.36363636363636
10000961,Computer  Science  (Digital  Media  and  Games),BSc,FullTime,1,2,4,26000,112
10000961,Sociology  (Media),BSc,FullTime,0,0,3,20000,112
10007787,Communication  (EFL)  and  Media  Studies,BA,FullTime,0,0,2,18000,98.5
10007787,Communication  (EFL)  Media  and  Visual  Design,BA,FullTime,0,0,2,18000,98.5
10007787,Communication  Media  and  Journalism,BA,FullTime,0,0,2,18000,98.5
10007787,Communication  Media  and  Visual  Design,BA,FullTime,0,0,2,18000,98.5
10007787,English  Studies  with  Media  Communications,BA,FullTime,0,0,2,18000,98.5
10000975,Assistant  Practitioner  (Immediate  Critical  and  Peri-Operative  Care),FdSc,PartTime,0,0,,25000,0
10000975,Assistant  Practitioner  (Immediate  Critical  and  Peri-Operative  Care),FdSc,PartTime,0,0,,25000,0
10001143,Digital  Media,BA,FullTime,2,0,4,18000,107.25
10001143,Digital  Media,BA,FullTime,0,0,3,18000,80
10001143,Digital  Media/Early  Childhood  Studies,BA,PartTime,0,0,,19000,0
10001143,Digital  Media/Health  Studies,BA/BSc,PartTime,0,0,,27000,0
10001143,Digital  Media/Media  and  Communications,BA,FullTime,0,0,3,18000,107.25
10001143,Digital  Media/Sociology,BA/BSc,PartTime,0,0,,27000,0
10001143,European  Politics/Media  and  Communications,BA/BSc,PartTime,0,0,,27000,0
10001143,Health  Studies/Media  and  Communications,BA/BSc,PartTime,0,0,,27000,0
10001143,International  Relations/Media  and  Communications,BA/BSc,PartTime,0,0,,27000,0
10001143,Journalism:  Multimedia  Journalism,BA,FullTime,2,0,4,18000,122.0
10001143,Media  &  Communications/Politics,BA/BSc,PartTime,0,0,,27000,0
10001143,Media  and  Communications,BA,FullTime,2,0,4,18000,107.25
10001143,Media  and  Communications,BA,FullTime,0,0,3,18000,96
10001143,Media  and  Communications/Sociology,BA/BSc,PartTime,0,0,,27000,0
10001143,Multimedia  Journalism,BA,FullTime,0,0,3,18000,122.0
10001143,Music  and  Media  Production,BA,FullTime,0,0,3,18000,107.25
10001143,Public  Relations  Media  and  Marketing,BA,FullTime,0,0,3,19000,96
10001143,Public  Relations  Media  and  Marketing,BA,FullTime,0,2,4,19000,96
10007854,Creative  Writing  and  Media,BA,FullTime,0,0,3,17000,108.5
10007854,Drama  and  Media,BA,FullTime,0,0,3,17000,96
10007854,English  &  Media,BA,FullTime,0,0,3,17000,89.375
10007814,"Journalism  Media  and  English  Literature """,BA,FullTime,0,0,3,18000,147.0
10007141,Film  and  Media  Studies,BA,FullTime,0,1,3,17000,121.0
10007141,Marketing  Management  (Digital  Media),BA,FullTime,0,1,3,18000,119.5
10007141,Media  Production,BSc,FullTime,1,0,3,16000,119.5
10007141,Media  Production,BSc,FullTime,2,0,4,16000,119.5
