institution,course,type,studymode,foundationyears,sandwichyears,totalyears,salary6monthsafter,mediantariff
10006840,Medicine,MBChB,FullTime,0,0,5,30000,205
10007788,Medicine,MBChir,FullTime,0,0,6,30000,224
10007814,Medicine,MBBCh,FullTime,2,0,6,30000,199
10007814,Medicine,MBBCh,FullTime,0,0,5,30000,199
10007814,Medicine  (4  year),MBBCh,FullTime,0,0,4,30000,199
10007852,Medicine,MBChB,FullTime,0,0,5,30000,234.43478
10007789,Medicine,MBBS,FullTime,0,0,5,30000,193.57895
10007789,Medicine,MBBS,FullTime,2,0,6,30000,163.75
10007792,Medicine,BMBS,FullTime,0,0,5,30000,213.45454
10003270,Medicine,MBBS,FullTime,0,0,6,30000,214.81818
10003645,Medicine,MBBS,FullTime,0,0,5,30000,190.25
10007796,Medicine,MBChB,FullTime,0,0,5,30000,192.88235
10007796,Medicine,MBChB,FullTime,2,0,6,30000,192.88235
10006842,Medicine  and  Surgery  MBChB,MBChB,FullTime,0,0,5,30000,183.85715
10006842,Medicine  and  Surgery  MBChB  (Graduate  Entry),MBChB,FullTime,0,0,4,30000,183.85715
10007798,Medicine,MBChB,FullTime,0,0,5,30000,199.5
10007798,Medicine,MBChB,FullTime,2,0,6,30000,173.33333
10007799,Medicine  and  Surgery,MBBS,FullTime,0,0,5,30000,206.0625
10007774,Medicine,BM  BCh,FullTime,0,0,3,30000,235.05263
10007801,Medicine  and  Surgery,BMBS,FullTime,0,0,5,30000,203.42857
10007775,Medicine,MBBS,FullTime,0,0,5,30000,218.71428
10007157,Medicine,MBChB,FullTime,0,0,5,30000,187.66667
10007158,Medicine  -  Widening  access  (6  yrs),BMBS,FullTime,0,0,6,30000,151.5
10007158,Medicine  (5  year),BMBS,FullTime,0,0,5,30000,187.11111
10007782,Medicine  MBBS,MBBS,FullTime,0,0,5,30000,185.75
10007784,Medicine,MBBS,FullTime,0,0,5,30000,220
